	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	familiarity_story_setting	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
17	5e54dced73aedb4d4b807060	1	0.0	2.0	1.0	4.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
18	56a38b45dbe850000cfd50c3	1	0.0	1.0	0.0	4.0	4.0	3.0	1.0	2.0	3.0	1.0	5.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
19	6533bb8a9f2e2ac4de2feefd	1	1.0	1.0	1.0	4.0	5.0	5.0	1.0	2.0	3.0	2.0	3.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
20	63c48023d6116ee42fa17bf8	1	1.0	1.0	0.0	4.0	4.0	3.0	1.0	2.0	3.0	4.0	2.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
21	63ebc09770586edc200078ab	1	1.0	1.0	0.0	4.0	4.0	5.0	1.0	2.0	3.0	1.0	3.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
22	600c167e28de48080e812884	1	1.0	4.0	0.0	4.0	3.0	4.0	1.0	2.0	3.0	2.0	4.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
23	62adef58d6f991bb5660e772	1	0.0	1.0	0.0	4.0	5.0	4.0	1.0	2.0	3.0	1.0	4.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
24	55b3120cfdf99b6ef6263a71	1	1.0	4.0	1.0	4.0	5.0	4.0	1.0	2.0	3.0	1.0	3.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
25	65352f577856b1a9cd05af56	1	1.0	0.0	1.0	4.0	4.0	3.0	1.0	2.0	3.0	1.0	2.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
26	6543ac0da57f182d55495282	1	1.0	1.0	1.0	4.0	2.0	4.0	1.0	2.0	3.0	1.0	5.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
27	5e667f3bc3f30a4050fc8f2f	1	1.0	4.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	3.0	3.0	1.0	1	Constitutional_convention_(political_custom)	1	2	3
28	656de95d96d9c1b0bfa2ba83	1	0.0	5.0	1.0	4.0	2.0	2.0	2.0	0.0	3.0	1.0	5.0	2.0	1	Constitutional_convention_(political_custom)	1	2	3
29	6471801682f074f04e9e66cf	1	1.0	3.0	0.0	4.0	4.0	4.0	0.0	2.0	2.0	3.0	4.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
30	657205bc657023eae65ca983	1	1.0	0.0	1.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	4.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
31	6100082f7b0b86dacf092ad9	1	1.0	1.0	1.0	4.0	4.0	3.0	1.0	2.0	3.0	1.0	5.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
32	5cfeea9c4954fe00165895e0	2	1.0	3.0	0.0	4.0	3.0	1.0	2.0	1.0	2.0	2.0	3.0	1.0	1	Unaccompanied_minor	2	1	2
33	5e54dced73aedb4d4b807060	2	0.0	2.0	1.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	3.0	1	Unaccompanied_minor	2	1	2
34	56a38b45dbe850000cfd50c3	2	0.0	1.0	0.0	4.0	4.0	3.0	2.0	1.0	2.0	4.0	2.0	5.0	1	Unaccompanied_minor	2	1	2
35	6533bb8a9f2e2ac4de2feefd	2	1.0	1.0	1.0	4.0	5.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	1	Unaccompanied_minor	2	1	2
36	63c48023d6116ee42fa17bf8	2	1.0	1.0	0.0	4.0	4.0	4.0	2.0	1.0	2.0	4.0	4.0	3.0	1	Unaccompanied_minor	2	1	2
37	63ebc09770586edc200078ab	2	1.0	1.0	0.0	4.0	4.0	5.0	2.0	1.0	2.0	3.0	3.0	5.0	1	Unaccompanied_minor	2	1	2
38	600c167e28de48080e812884	2	1.0	4.0	0.0	4.0	3.0	2.0	2.0	1.0	2.0	4.0	2.0	2.0	1	Unaccompanied_minor	2	1	2
39	62adef58d6f991bb5660e772	2	0.0	1.0	0.0	4.0	5.0	4.0	2.0	1.0	2.0	2.0	1.0	4.0	1	Unaccompanied_minor	2	1	2
40	55b3120cfdf99b6ef6263a71	2	1.0	4.0	1.0	4.0	5.0	2.0	2.0	0.0	3.0	5.0	1.0	3.0	1	Unaccompanied_minor	2	1	2
41	65352f577856b1a9cd05af56	2	1.0	0.0	1.0	4.0	4.0	4.0	2.0	1.0	2.0	4.0	2.0	4.0	1	Unaccompanied_minor	2	1	2
42	6543ac0da57f182d55495282	2	1.0	1.0	1.0	4.0	2.0	4.0	2.0	1.0	2.0	5.0	2.0	4.0	1	Unaccompanied_minor	2	1	2
43	5e667f3bc3f30a4050fc8f2f	2	1.0	4.0	0.0	4.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0	3.0	1	Unaccompanied_minor	2	1	2
44	656de95d96d9c1b0bfa2ba83	2	0.0	5.0	1.0	4.0	2.0	2.0	2.0	0.0	2.0	3.0	1.0	2.0	1	Unaccompanied_minor	2	1	2
45	6471801682f074f04e9e66cf	2	1.0	3.0	0.0	4.0	4.0	3.0	2.0	0.0	0.0	3.0	3.0	4.0	1	Unaccompanied_minor	2	1	2
46	657205bc657023eae65ca983	2	1.0	0.0	1.0	4.0	3.0	3.0	2.0	3.0	2.0	1.0	3.0	3.0	1	Unaccompanied_minor	2	1	2
47	6100082f7b0b86dacf092ad9	2	1.0	1.0	1.0	4.0	4.0	1.0	2.0	1.0	2.0	4.0	2.0	4.0	1	Unaccompanied_minor	2	1	2
48	5cfeea9c4954fe00165895e0	3	1.0	3.0	0.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	4.0	2.0	1	Substantial_certainty_doctrine	1	0	3
49	5e54dced73aedb4d4b807060	3	0.0	2.0	1.0	4.0	2.0	2.0	1.0	0.0	3.0	1.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
50	56a38b45dbe850000cfd50c3	3	0.0	1.0	0.0	4.0	4.0	4.0	1.0	0.0	3.0	1.0	4.0	4.0	1	Substantial_certainty_doctrine	1	0	3
51	6533bb8a9f2e2ac4de2feefd	3	1.0	1.0	1.0	4.0	5.0	5.0	1.0	0.0	3.0	2.0	1.0	5.0	1	Substantial_certainty_doctrine	1	0	3
52	63c48023d6116ee42fa17bf8	3	1.0	1.0	0.0	4.0	4.0	3.0	1.0	0.0	2.0	3.0	4.0	2.0	1	Substantial_certainty_doctrine	1	0	3
53	63ebc09770586edc200078ab	3	1.0	1.0	0.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	5.0	4.0	1	Substantial_certainty_doctrine	1	0	3
54	600c167e28de48080e812884	3	1.0	4.0	0.0	4.0	3.0	4.0	1.0	0.0	3.0	2.0	4.0	4.0	1	Substantial_certainty_doctrine	1	0	3
55	62adef58d6f991bb5660e772	3	0.0	1.0	0.0	4.0	5.0	4.0	1.0	0.0	3.0	1.0	2.0	4.0	1	Substantial_certainty_doctrine	1	0	3
56	55b3120cfdf99b6ef6263a71	3	1.0	4.0	1.0	4.0	5.0	3.0	1.0	1.0	3.0	1.0	2.0	3.0	1	Substantial_certainty_doctrine	1	0	3
57	65352f577856b1a9cd05af56	3	1.0	0.0	1.0	4.0	4.0	3.0	1.0	0.0	3.0	2.0	4.0	5.0	1	Substantial_certainty_doctrine	1	0	3
58	6543ac0da57f182d55495282	3	1.0	1.0	1.0	4.0	2.0	4.0	1.0	0.0	3.0	1.0	2.0	4.0	1	Substantial_certainty_doctrine	1	0	3
59	5e667f3bc3f30a4050fc8f2f	3	1.0	4.0	0.0	4.0	4.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	1	Substantial_certainty_doctrine	1	0	3
60	656de95d96d9c1b0bfa2ba83	3	0.0	5.0	1.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1	Substantial_certainty_doctrine	1	0	3
61	6471801682f074f04e9e66cf	3	1.0	3.0	0.0	4.0	4.0	4.0	0.0	2.0	1.0	4.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
62	657205bc657023eae65ca983	3	1.0	0.0	1.0	4.0	3.0	3.0	1.0	1.0	3.0	1.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
63	6100082f7b0b86dacf092ad9	3	1.0	1.0	1.0	4.0	4.0	1.0	1.0	0.0	3.0	1.0	5.0	4.0	1	Substantial_certainty_doctrine	1	0	3
64	5cfeea9c4954fe00165895e0	4	1.0	3.0	0.0	4.0	3.0	1.0	1.0	1.0	2.0	1.0	3.0	2.0	1	Learned_intermediary	1	1	2
65	5e54dced73aedb4d4b807060	4	0.0	2.0	1.0	4.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	1	Learned_intermediary	1	1	2
66	56a38b45dbe850000cfd50c3	4	0.0	1.0	0.0	4.0	4.0	4.0	1.0	1.0	2.0	1.0	5.0	4.0	1	Learned_intermediary	1	1	2
67	6533bb8a9f2e2ac4de2feefd	4	1.0	1.0	1.0	4.0	5.0	3.0	1.0	1.0	2.0	2.0	1.0	3.0	1	Learned_intermediary	1	1	2
68	63c48023d6116ee42fa17bf8	4	1.0	1.0	0.0	4.0	4.0	3.0	0.0	1.0	2.0	4.0	3.0	4.0	1	Learned_intermediary	1	1	2
69	63ebc09770586edc200078ab	4	1.0	1.0	0.0	4.0	4.0	5.0	1.0	1.0	2.0	1.0	5.0	5.0	1	Learned_intermediary	1	1	2
70	600c167e28de48080e812884	4	1.0	4.0	0.0	4.0	3.0	3.0	1.0	1.0	2.0	1.0	4.0	3.0	1	Learned_intermediary	1	1	2
71	62adef58d6f991bb5660e772	4	0.0	1.0	0.0	4.0	5.0	4.0	1.0	1.0	2.0	1.0	3.0	4.0	1	Learned_intermediary	1	1	2
72	55b3120cfdf99b6ef6263a71	4	1.0	4.0	1.0	4.0	5.0	5.0	1.0	1.0	2.0	1.0	4.0	3.0	1	Learned_intermediary	1	1	2
73	65352f577856b1a9cd05af56	4	1.0	0.0	1.0	4.0	4.0	5.0	1.0	1.0	2.0	5.0	4.0	4.0	1	Learned_intermediary	1	1	2
74	6543ac0da57f182d55495282	4	1.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	2.0	1.0	4.0	3.0	1	Learned_intermediary	1	1	2
75	5e667f3bc3f30a4050fc8f2f	4	1.0	4.0	0.0	4.0	4.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1	Learned_intermediary	1	1	2
76	656de95d96d9c1b0bfa2ba83	4	0.0	5.0	1.0	4.0	2.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	1	Learned_intermediary	1	1	2
77	6471801682f074f04e9e66cf	4	1.0	3.0	0.0	4.0	4.0	4.0	0.0	2.0	0.0	3.0	4.0	4.0	1	Learned_intermediary	1	1	2
78	657205bc657023eae65ca983	4	1.0	0.0	1.0	4.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	3.0	1	Learned_intermediary	1	1	2
79	6100082f7b0b86dacf092ad9	4	1.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	5.0	4.0	1	Learned_intermediary	1	1	2
80	62227d2f22557ab9b3da6afe	14	1.0	3.0	1.0	4.0	4.0	4.0	1.0	0.0	2.0	3.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
81	6571e7c96543b8f44b20086c	14	1.0	1.0	0.0	4.0	2.0	5.0	1.0	0.0	1.0	1.0	3.0	5.0	2	Remoteness_in_English_law	1	0	1
82	5bcf173fa356010001d78f6c	14	1.0	1.0	1.0	4.0	3.0	4.0	2.0	1.0	1.0	1.0	4.0	3.0	2	Remoteness_in_English_law	1	0	1
83	632aaef27780d596dc7e0a9f	14	0.0	3.0	0.0	4.0	4.0	5.0	2.0	0.0	3.0	2.0	5.0	1.0	2	Remoteness_in_English_law	1	0	1
84	5fc6df58f380620a09116434	14	1.0	0.0	1.0	4.0	4.0	2.0	1.0	0.0	1.0	1.0	3.0	4.0	2	Remoteness_in_English_law	1	0	1
85	647d87d32f487c34fa8624a7	14	1.0	3.0	0.0	4.0	5.0	5.0	2.0	0.0	1.0	1.0	5.0	5.0	2	Remoteness_in_English_law	1	0	1
86	64135983899b0b3fa3ddfab9	14	1.0	2.0	0.0	4.0	4.0	5.0	1.0	0.0	1.0	1.0	1.0	2.0	2	Remoteness_in_English_law	1	0	1
87	647be991db1ffbd6bbcc5bc6	14	1.0	1.0	0.0	4.0	3.0	2.0	1.0	0.0	1.0	1.0	5.0	4.0	2	Remoteness_in_English_law	1	0	1
88	64e535a54df10cb908664b3e	14	1.0	1.0	1.0	4.0	4.0	2.0	1.0	0.0	1.0	1.0	3.0	5.0	2	Remoteness_in_English_law	1	0	1
89	655c33b53e08b585830af707	14	1.0	0.0	0.0	4.0	4.0	2.0	1.0	0.0	1.0	1.0	4.0	5.0	2	Remoteness_in_English_law	1	0	1
90	651063c9a9f53082d3a290df	14	1.0	1.0	1.0	4.0	5.0	4.0	1.0	0.0	1.0	1.0	4.0	4.0	2	Remoteness_in_English_law	1	0	1
91	60fe1fbba011e1cbbf2d7624	14	1.0	0.0	1.0	1.0	5.0	2.0	1.0	0.0	1.0	1.0	3.0	5.0	2	Remoteness_in_English_law	1	0	1
92	614e1caefcd4fae7eb8d7a39	14	1.0	5.0	0.0	4.0	5.0	4.0	1.0	0.0	1.0	1.0	4.0	5.0	2	Remoteness_in_English_law	1	0	1
93	65721f824cd8133519dd9f68	14	1.0	1.0	1.0	4.0	2.0	3.0	1.0	1.0	1.0	1.0	5.0	3.0	2	Remoteness_in_English_law	1	0	1
94	5c8ec49f692c610001e14eca	14	1.0	1.0	0.0	4.0	4.0	4.0	1.0	0.0	1.0	1.0	3.0	3.0	2	Remoteness_in_English_law	1	0	1
95	655fac71b6541fd121ba451f	14	1.0	2.0	1.0	2.0	5.0	5.0	1.0	0.0	1.0	1.0	3.0	4.0	2	Remoteness_in_English_law	1	0	1
96	62227d2f22557ab9b3da6afe	15	1.0	3.0	1.0	4.0	4.0	5.0	0.0	0.0	0.0	4.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
97	6571e7c96543b8f44b20086c	15	1.0	1.0	0.0	4.0	2.0	5.0	1.0	1.0	0.0	1.0	3.0	5.0	2	Pacta_sunt_servanda	1	2	0
98	5bcf173fa356010001d78f6c	15	1.0	1.0	1.0	4.0	3.0	5.0	1.0	2.0	0.0	1.0	5.0	5.0	2	Pacta_sunt_servanda	1	2	0
99	632aaef27780d596dc7e0a9f	15	0.0	3.0	0.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	5.0	1.0	2	Pacta_sunt_servanda	1	2	0
100	5fc6df58f380620a09116434	15	1.0	0.0	1.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	2.0	2.0	2	Pacta_sunt_servanda	1	2	0
101	647d87d32f487c34fa8624a7	15	1.0	3.0	0.0	4.0	5.0	5.0	1.0	2.0	0.0	1.0	3.0	5.0	2	Pacta_sunt_servanda	1	2	0
102	64135983899b0b3fa3ddfab9	15	1.0	2.0	0.0	4.0	4.0	5.0	1.0	2.0	0.0	1.0	5.0	2.0	2	Pacta_sunt_servanda	1	2	0
103	647be991db1ffbd6bbcc5bc6	15	1.0	1.0	0.0	4.0	3.0	3.0	1.0	1.0	0.0	1.0	2.0	5.0	2	Pacta_sunt_servanda	1	2	0
104	64e535a54df10cb908664b3e	15	1.0	1.0	1.0	4.0	4.0	5.0	1.0	2.0	0.0	3.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
105	655c33b53e08b585830af707	15	1.0	0.0	0.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	4.0	5.0	2	Pacta_sunt_servanda	1	2	0
106	651063c9a9f53082d3a290df	15	1.0	1.0	1.0	4.0	5.0	5.0	1.0	2.0	0.0	1.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
107	60fe1fbba011e1cbbf2d7624	15	1.0	0.0	1.0	1.0	5.0	5.0	1.0	2.0	0.0	1.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
108	614e1caefcd4fae7eb8d7a39	15	1.0	5.0	0.0	4.0	5.0	5.0	1.0	2.0	0.0	1.0	4.0	5.0	2	Pacta_sunt_servanda	1	2	0
109	65721f824cd8133519dd9f68	15	1.0	1.0	1.0	4.0	2.0	4.0	1.0	2.0	0.0	1.0	4.0	4.0	2	Pacta_sunt_servanda	1	2	0
110	5c8ec49f692c610001e14eca	15	1.0	1.0	0.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	2.0	4.0	2	Pacta_sunt_servanda	1	2	0
111	655fac71b6541fd121ba451f	15	1.0	2.0	1.0	2.0	5.0	5.0	1.0	1.0	0.0	1.0	5.0	5.0	2	Pacta_sunt_servanda	1	2	0
112	62227d2f22557ab9b3da6afe	17	1.0	3.0	1.0	4.0	4.0	5.0	1.0	1.0	1.0	4.0	4.0	5.0	2	Brady_disclosure	1	1	3
113	6571e7c96543b8f44b20086c	17	1.0	1.0	0.0	4.0	2.0	4.0	1.0	3.0	3.0	1.0	4.0	4.0	2	Brady_disclosure	1	1	3
114	5bcf173fa356010001d78f6c	17	1.0	1.0	1.0	4.0	3.0	4.0	2.0	1.0	3.0	1.0	3.0	4.0	2	Brady_disclosure	1	1	3
115	632aaef27780d596dc7e0a9f	17	0.0	3.0	0.0	4.0	4.0	5.0	2.0	2.0	0.0	1.0	5.0	1.0	2	Brady_disclosure	1	1	3
116	5fc6df58f380620a09116434	17	1.0	0.0	1.0	4.0	4.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2	Brady_disclosure	1	1	3
117	647d87d32f487c34fa8624a7	17	1.0	3.0	0.0	4.0	5.0	4.0	1.0	1.0	3.0	1.0	5.0	2.0	2	Brady_disclosure	1	1	3
118	64135983899b0b3fa3ddfab9	17	1.0	2.0	0.0	4.0	4.0	3.0	1.0	3.0	3.0	1.0	2.0	2.0	2	Brady_disclosure	1	1	3
119	647be991db1ffbd6bbcc5bc6	17	1.0	1.0	0.0	4.0	3.0	1.0	1.0	0.0	3.0	2.0	3.0	4.0	2	Brady_disclosure	1	1	3
120	64e535a54df10cb908664b3e	17	1.0	1.0	1.0	4.0	4.0	1.0	1.0	3.0	3.0	1.0	4.0	2.0	2	Brady_disclosure	1	1	3
121	655c33b53e08b585830af707	17	1.0	0.0	0.0	4.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0	2	Brady_disclosure	1	1	3
122	651063c9a9f53082d3a290df	17	1.0	1.0	1.0	4.0	5.0	2.0	1.0	1.0	3.0	1.0	5.0	4.0	2	Brady_disclosure	1	1	3
123	60fe1fbba011e1cbbf2d7624	17	1.0	0.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	1.0	4.0	5.0	2	Brady_disclosure	1	1	3
124	614e1caefcd4fae7eb8d7a39	17	1.0	5.0	0.0	4.0	5.0	5.0	1.0	1.0	3.0	1.0	2.0	5.0	2	Brady_disclosure	1	1	3
125	65721f824cd8133519dd9f68	17	1.0	1.0	1.0	4.0	2.0	3.0	1.0	1.0	3.0	1.0	4.0	3.0	2	Brady_disclosure	1	1	3
126	5c8ec49f692c610001e14eca	17	1.0	1.0	0.0	4.0	4.0	3.0	1.0	1.0	3.0	1.0	2.0	3.0	2	Brady_disclosure	1	1	3
127	655fac71b6541fd121ba451f	17	1.0	2.0	1.0	2.0	5.0	3.0	1.0	1.0	3.0	1.0	4.0	3.0	2	Brady_disclosure	1	1	3
128	62227d2f22557ab9b3da6afe	18	1.0	3.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	5.0	4.0	3.0	2	Undue_hardship	1	1	3
129	6571e7c96543b8f44b20086c	18	1.0	1.0	0.0	4.0	2.0	3.0	1.0	1.0	3.0	3.0	2.0	3.0	2	Undue_hardship	1	1	3
130	5bcf173fa356010001d78f6c	18	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	3.0	1.0	3.0	3.0	2	Undue_hardship	1	1	3
131	632aaef27780d596dc7e0a9f	18	0.0	3.0	0.0	4.0	4.0	5.0	2.0	0.0	3.0	1.0	4.0	1.0	2	Undue_hardship	1	1	3
132	5fc6df58f380620a09116434	18	1.0	0.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0	2	Undue_hardship	1	1	3
133	647d87d32f487c34fa8624a7	18	1.0	3.0	0.0	4.0	5.0	5.0	1.0	1.0	3.0	1.0	5.0	5.0	2	Undue_hardship	1	1	3
134	64135983899b0b3fa3ddfab9	18	1.0	2.0	0.0	4.0	4.0	4.0	1.0	1.0	3.0	4.0	2.0	3.0	2	Undue_hardship	1	1	3
135	647be991db1ffbd6bbcc5bc6	18	1.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	3.0	2.0	4.0	4.0	2	Undue_hardship	1	1	3
136	64e535a54df10cb908664b3e	18	1.0	1.0	1.0	4.0	4.0	5.0	1.0	1.0	3.0	2.0	2.0	3.0	2	Undue_hardship	1	1	3
137	655c33b53e08b585830af707	18	1.0	0.0	0.0	4.0	4.0	2.0	1.0	1.0	3.0	2.0	3.0	4.0	2	Undue_hardship	1	1	3
138	651063c9a9f53082d3a290df	18	1.0	1.0	1.0	4.0	5.0	4.0	0.0	1.0	3.0	3.0	1.0	4.0	2	Undue_hardship	1	1	3
139	60fe1fbba011e1cbbf2d7624	18	1.0	0.0	1.0	1.0	5.0	3.0	1.0	1.0	3.0	4.0	2.0	5.0	2	Undue_hardship	1	1	3
140	614e1caefcd4fae7eb8d7a39	18	1.0	5.0	0.0	4.0	5.0	5.0	1.0	1.0	3.0	1.0	4.0	4.0	2	Undue_hardship	1	1	3
141	65721f824cd8133519dd9f68	18	1.0	1.0	1.0	4.0	2.0	3.0	1.0	1.0	3.0	2.0	3.0	3.0	2	Undue_hardship	1	1	3
142	5c8ec49f692c610001e14eca	18	1.0	1.0	0.0	4.0	4.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	2	Undue_hardship	1	1	3
143	655fac71b6541fd121ba451f	18	1.0	2.0	1.0	2.0	5.0	3.0	1.0	1.0	3.0	4.0	3.0	4.0	2	Undue_hardship	1	1	3
144	62227d2f22557ab9b3da6afe	19	1.0	3.0	1.0	4.0	4.0	3.0	1.0	0.0	2.0	1.0	4.0	2.0	2	Commanding_precedent	1	3	2
145	6571e7c96543b8f44b20086c	19	1.0	1.0	0.0	4.0	2.0	2.0	1.0	0.0	1.0	2.0	3.0	2.0	2	Commanding_precedent	1	3	2
146	5bcf173fa356010001d78f6c	19	1.0	1.0	1.0	4.0	3.0	4.0	1.0	2.0	1.0	1.0	4.0	3.0	2	Commanding_precedent	1	3	2
147	632aaef27780d596dc7e0a9f	19	0.0	3.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	5.0	3.0	2	Commanding_precedent	1	3	2
148	5fc6df58f380620a09116434	19	1.0	0.0	1.0	4.0	4.0	3.0	1.0	1.0	2.0	1.0	4.0	4.0	2	Commanding_precedent	1	3	2
149	647d87d32f487c34fa8624a7	19	1.0	3.0	0.0	4.0	5.0	1.0	1.0	3.0	2.0	1.0	5.0	1.0	2	Commanding_precedent	1	3	2
150	64135983899b0b3fa3ddfab9	19	1.0	2.0	0.0	4.0	4.0	3.0	1.0	2.0	2.0	1.0	3.0	5.0	2	Commanding_precedent	1	3	2
151	647be991db1ffbd6bbcc5bc6	19	1.0	1.0	0.0	4.0	3.0	2.0	1.0	3.0	1.0	1.0	4.0	3.0	2	Commanding_precedent	1	3	2
152	64e535a54df10cb908664b3e	19	1.0	1.0	1.0	4.0	4.0	1.0	1.0	0.0	1.0	1.0	4.0	1.0	2	Commanding_precedent	1	3	2
153	655c33b53e08b585830af707	19	1.0	0.0	0.0	4.0	4.0	3.0	1.0	1.0	2.0	1.0	5.0	1.0	2	Commanding_precedent	1	3	2
154	651063c9a9f53082d3a290df	19	1.0	1.0	1.0	4.0	5.0	4.0	1.0	3.0	2.0	3.0	2.0	4.0	2	Commanding_precedent	1	3	2
155	60fe1fbba011e1cbbf2d7624	19	1.0	0.0	1.0	1.0	5.0	3.0	1.0	1.0	1.0	4.0	1.0	3.0	2	Commanding_precedent	1	3	2
156	614e1caefcd4fae7eb8d7a39	19	1.0	5.0	0.0	4.0	5.0	3.0	1.0	3.0	2.0	3.0	2.0	3.0	2	Commanding_precedent	1	3	2
