	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
14	5faefcc22be93b11829e84df	0	0.0	1.0	0.0	4.0	3.0	1.0	2.0	2.0	2.0	1.0	3.0	1	Abstention_doctrine	2	2	2
15	6267c3d17f88988d0d787c7f	0	1.0	3.0	0.0	4.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	1	Abstention_doctrine	2	2	2
16	6552b16899091e4aaa587d1b	0	1.0	1.0	0.0	4.0	3.0	1.0	2.0	2.0	2.0	1.0	5.0	1	Abstention_doctrine	2	2	2
17	6496ef958d0761d8a3fdff52	0	0.0	1.0	1.0	4.0	4.0	5.0	2.0	2.0	2.0	1.0	1.0	1	Abstention_doctrine	2	2	2
18	646184c4dd714ee460118417	0	0.0	4.0	0.0	4.0	5.0	1.0	2.0	1.0	1.0	1.0	5.0	1	Abstention_doctrine	2	2	2
19	655a72ea33298201276c64df	0	1.0	1.0	1.0	4.0	5.0	2.0	2.0	1.0	2.0	1.0	5.0	1	Abstention_doctrine	2	2	2
20	6548f1c15e6d25e5ab40d001	0	1.0	1.0	1.0	4.0	5.0	2.0	2.0	1.0	0.0	3.0	3.0	1	Abstention_doctrine	2	2	2
21	5f42d7f515c23f500bd34d57	1	1.0	2.0	0.0	4.0	4.0	3.0	2.0	2.0	3.0	1.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
22	6525b562b415d2f7ed82196e	1	1.0	1.0	1.0	4.0	5.0	2.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
23	5fed6c9c0d786daf31f29f3d	1	0.0	2.0	1.0	4.0	5.0	2.0	1.0	2.0	3.0	1.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
24	5c81797a5bb27200013c7b1b	1	1.0	1.0	0.0	4.0	5.0	1.0	1.0	2.0	3.0	2.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
25	652c3486250595e2f18d3d7f	1	1.0	2.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
26	65510e18d5c77d6aca4c119f	1	1.0	1.0	0.0	4.0	4.0	2.0	1.0	2.0	3.0	3.0	2.0	1	Constitutional_convention_(political_custom)	1	2	3
27	655fb8c644eeae73f71e2ef5	1	0.0	1.0	0.0	4.0	1.0	1.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
28	650d2857d00b55d1e7fd8691	1	1.0	0.0	0.0	4.0	4.0	3.0	1.0	2.0	3.0	3.0	2.0	1	Constitutional_convention_(political_custom)	1	2	3
29	6533e7003e89335516d43e66	1	1.0	1.0	1.0	4.0	3.0	2.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
30	60c20992212adb0a37fb5259	1	1.0	1.0	0.0	4.0	3.0	1.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
31	656160ea21fef6a13435476c	1	1.0	1.0	1.0	4.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
32	65636ef7d64d364e644c5951	1	0.0	1.0	1.0	4.0	4.0	2.0	1.0	2.0	3.0	2.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
33	614ef0f185fa0c76a6b17335	1	1.0	3.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
34	654288b221124dbf3ca71b29	1	1.0	0.0	1.0	4.0	2.0	2.0	1.0	2.0	3.0	2.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
35	5faefcc22be93b11829e84df	1	0.0	1.0	0.0	4.0	3.0	1.0	1.0	2.0	3.0	1.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
36	6267c3d17f88988d0d787c7f	1	1.0	3.0	0.0	4.0	3.0	1.0	1.0	2.0	3.0	2.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
37	6552b16899091e4aaa587d1b	1	1.0	1.0	0.0	4.0	3.0	1.0	1.0	2.0	3.0	1.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
38	6496ef958d0761d8a3fdff52	1	0.0	1.0	1.0	4.0	4.0	2.0	1.0	2.0	3.0	1.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
39	646184c4dd714ee460118417	1	0.0	4.0	0.0	4.0	5.0	3.0	1.0	3.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
40	655a72ea33298201276c64df	1	1.0	1.0	1.0	4.0	5.0	2.0	1.0	0.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
41	6548f1c15e6d25e5ab40d001	1	1.0	1.0	1.0	4.0	5.0	3.0	2.0	0.0	3.0	2.0	2.0	1	Constitutional_convention_(political_custom)	1	2	3
42	5f42d7f515c23f500bd34d57	2	1.0	2.0	0.0	4.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	1	Unaccompanied_minor	2	1	2
43	6525b562b415d2f7ed82196e	2	1.0	1.0	1.0	4.0	5.0	5.0	2.0	1.0	2.0	4.0	2.0	1	Unaccompanied_minor	2	1	2
44	5fed6c9c0d786daf31f29f3d	2	0.0	2.0	1.0	4.0	5.0	4.0	2.0	1.0	2.0	3.0	4.0	1	Unaccompanied_minor	2	1	2
45	5c81797a5bb27200013c7b1b	2	1.0	1.0	0.0	4.0	5.0	1.0	2.0	1.0	1.0	1.0	2.0	1	Unaccompanied_minor	2	1	2
46	652c3486250595e2f18d3d7f	2	1.0	2.0	1.0	4.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	1	Unaccompanied_minor	2	1	2
47	65510e18d5c77d6aca4c119f	2	1.0	1.0	0.0	4.0	4.0	3.0	2.0	1.0	2.0	4.0	1.0	1	Unaccompanied_minor	2	1	2
48	655fb8c644eeae73f71e2ef5	2	0.0	1.0	0.0	4.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	1	Unaccompanied_minor	2	1	2
49	650d2857d00b55d1e7fd8691	2	1.0	0.0	0.0	4.0	4.0	2.0	2.0	1.0	2.0	4.0	1.0	1	Unaccompanied_minor	2	1	2
50	6533e7003e89335516d43e66	2	1.0	1.0	1.0	4.0	3.0	2.0	2.0	3.0	1.0	4.0	5.0	1	Unaccompanied_minor	2	1	2
51	60c20992212adb0a37fb5259	2	1.0	1.0	0.0	4.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	1	Unaccompanied_minor	2	1	2
52	656160ea21fef6a13435476c	2	1.0	1.0	1.0	4.0	4.0	4.0	2.0	2.0	1.0	4.0	2.0	1	Unaccompanied_minor	2	1	2
53	65636ef7d64d364e644c5951	2	0.0	1.0	1.0	4.0	4.0	4.0	2.0	1.0	2.0	2.0	2.0	1	Unaccompanied_minor	2	1	2
54	614ef0f185fa0c76a6b17335	2	1.0	3.0	0.0	4.0	4.0	2.0	0.0	0.0	1.0	4.0	1.0	1	Unaccompanied_minor	2	1	2
55	654288b221124dbf3ca71b29	2	1.0	0.0	1.0	4.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	1	Unaccompanied_minor	2	1	2
56	5faefcc22be93b11829e84df	2	0.0	1.0	0.0	4.0	3.0	1.0	2.0	1.0	2.0	3.0	3.0	1	Unaccompanied_minor	2	1	2
57	6267c3d17f88988d0d787c7f	2	1.0	3.0	0.0	4.0	3.0	4.0	2.0	0.0	2.0	1.0	3.0	1	Unaccompanied_minor	2	1	2
58	6552b16899091e4aaa587d1b	2	1.0	1.0	0.0	4.0	3.0	5.0	2.0	1.0	2.0	2.0	3.0	1	Unaccompanied_minor	2	1	2
59	6496ef958d0761d8a3fdff52	2	0.0	1.0	1.0	4.0	4.0	5.0	2.0	1.0	2.0	3.0	1.0	1	Unaccompanied_minor	2	1	2
60	646184c4dd714ee460118417	2	0.0	4.0	0.0	4.0	5.0	1.0	2.0	2.0	3.0	1.0	3.0	1	Unaccompanied_minor	2	1	2
61	655a72ea33298201276c64df	2	1.0	1.0	1.0	4.0	5.0	3.0	2.0	1.0	2.0	1.0	2.0	1	Unaccompanied_minor	2	1	2
62	6548f1c15e6d25e5ab40d001	2	1.0	1.0	1.0	4.0	5.0	4.0	2.0	0.0	3.0	4.0	1.0	1	Unaccompanied_minor	2	1	2
63	5f42d7f515c23f500bd34d57	3	1.0	2.0	0.0	4.0	4.0	2.0	3.0	2.0	3.0	3.0	2.0	1	Substantial_certainty_doctrine	1	0	3
64	6525b562b415d2f7ed82196e	3	1.0	1.0	1.0	4.0	5.0	4.0	1.0	0.0	2.0	2.0	2.0	1	Substantial_certainty_doctrine	1	0	3
65	5fed6c9c0d786daf31f29f3d	3	0.0	2.0	1.0	4.0	5.0	3.0	1.0	0.0	3.0	1.0	5.0	1	Substantial_certainty_doctrine	1	0	3
66	5c81797a5bb27200013c7b1b	3	1.0	1.0	0.0	4.0	5.0	1.0	1.0	0.0	3.0	1.0	1.0	1	Substantial_certainty_doctrine	1	0	3
67	652c3486250595e2f18d3d7f	3	1.0	2.0	1.0	4.0	3.0	3.0	2.0	2.0	1.0	3.0	2.0	1	Substantial_certainty_doctrine	1	0	3
68	65510e18d5c77d6aca4c119f	3	1.0	1.0	0.0	4.0	4.0	3.0	1.0	0.0	3.0	1.0	2.0	1	Substantial_certainty_doctrine	1	0	3
69	655fb8c644eeae73f71e2ef5	3	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1	Substantial_certainty_doctrine	1	0	3
70	650d2857d00b55d1e7fd8691	3	1.0	0.0	0.0	4.0	4.0	3.0	1.0	0.0	3.0	4.0	3.0	1	Substantial_certainty_doctrine	1	0	3
71	6533e7003e89335516d43e66	3	1.0	1.0	1.0	4.0	3.0	1.0	3.0	0.0	3.0	1.0	3.0	1	Substantial_certainty_doctrine	1	0	3
72	60c20992212adb0a37fb5259	3	1.0	1.0	0.0	4.0	3.0	2.0	1.0	0.0	3.0	2.0	4.0	1	Substantial_certainty_doctrine	1	0	3
73	656160ea21fef6a13435476c	3	1.0	1.0	1.0	4.0	4.0	3.0	1.0	0.0	3.0	1.0	3.0	1	Substantial_certainty_doctrine	1	0	3
74	65636ef7d64d364e644c5951	3	0.0	1.0	1.0	4.0	4.0	2.0	1.0	0.0	3.0	2.0	4.0	1	Substantial_certainty_doctrine	1	0	3
75	614ef0f185fa0c76a6b17335	3	1.0	3.0	0.0	4.0	4.0	2.0	1.0	0.0	3.0	3.0	4.0	1	Substantial_certainty_doctrine	1	0	3
76	654288b221124dbf3ca71b29	3	1.0	0.0	1.0	4.0	2.0	3.0	1.0	1.0	2.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
77	5faefcc22be93b11829e84df	3	0.0	1.0	0.0	4.0	3.0	2.0	1.0	0.0	3.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
78	6267c3d17f88988d0d787c7f	3	1.0	3.0	0.0	4.0	3.0	2.0	1.0	0.0	3.0	2.0	1.0	1	Substantial_certainty_doctrine	1	0	3
79	6552b16899091e4aaa587d1b	3	1.0	1.0	0.0	4.0	3.0	3.0	1.0	0.0	3.0	3.0	3.0	1	Substantial_certainty_doctrine	1	0	3
80	6496ef958d0761d8a3fdff52	3	0.0	1.0	1.0	4.0	4.0	2.0	1.0	0.0	2.0	1.0	4.0	1	Substantial_certainty_doctrine	1	0	3
81	646184c4dd714ee460118417	3	0.0	4.0	0.0	4.0	5.0	3.0	2.0	1.0	3.0	1.0	5.0	1	Substantial_certainty_doctrine	1	0	3
82	655a72ea33298201276c64df	3	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	3.0	1.0	4.0	1	Substantial_certainty_doctrine	1	0	3
83	6548f1c15e6d25e5ab40d001	3	1.0	1.0	1.0	4.0	5.0	1.0	1.0	0.0	0.0	1.0	5.0	1	Substantial_certainty_doctrine	1	0	3
84	5f42d7f515c23f500bd34d57	4	1.0	2.0	0.0	4.0	4.0	3.0	1.0	1.0	2.0	2.0	3.0	1	Learned_intermediary	1	1	2
85	6525b562b415d2f7ed82196e	4	1.0	1.0	1.0	4.0	5.0	2.0	1.0	1.0	2.0	1.0	4.0	1	Learned_intermediary	1	1	2
86	5fed6c9c0d786daf31f29f3d	4	0.0	2.0	1.0	4.0	5.0	3.0	1.0	1.0	2.0	2.0	3.0	1	Learned_intermediary	1	1	2
87	5c81797a5bb27200013c7b1b	4	1.0	1.0	0.0	4.0	5.0	4.0	1.0	1.0	2.0	1.0	5.0	1	Learned_intermediary	1	1	2
88	652c3486250595e2f18d3d7f	4	1.0	2.0	1.0	4.0	3.0	4.0	1.0	1.0	2.0	3.0	2.0	1	Learned_intermediary	1	1	2
89	65510e18d5c77d6aca4c119f	4	1.0	1.0	0.0	4.0	4.0	3.0	1.0	1.0	2.0	3.0	2.0	1	Learned_intermediary	1	1	2
90	655fb8c644eeae73f71e2ef5	4	0.0	1.0	0.0	4.0	1.0	1.0	2.0	1.0	0.0	1.0	5.0	1	Learned_intermediary	1	1	2
91	650d2857d00b55d1e7fd8691	4	1.0	0.0	0.0	4.0	4.0	4.0	1.0	1.0	2.0	2.0	4.0	1	Learned_intermediary	1	1	2
92	6533e7003e89335516d43e66	4	1.0	1.0	1.0	4.0	3.0	2.0	1.0	1.0	0.0	1.0	3.0	1	Learned_intermediary	1	1	2
93	60c20992212adb0a37fb5259	4	1.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	1	Learned_intermediary	1	1	2
94	656160ea21fef6a13435476c	4	1.0	1.0	1.0	4.0	4.0	5.0	1.0	1.0	0.0	3.0	2.0	1	Learned_intermediary	1	1	2
95	65636ef7d64d364e644c5951	4	0.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	2.0	2.0	1	Learned_intermediary	1	1	2
96	614ef0f185fa0c76a6b17335	4	1.0	3.0	0.0	4.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0	1	Learned_intermediary	1	1	2
97	654288b221124dbf3ca71b29	4	1.0	0.0	1.0	4.0	2.0	2.0	1.0	1.0	0.0	3.0	2.0	1	Learned_intermediary	1	1	2
98	5faefcc22be93b11829e84df	4	0.0	1.0	0.0	4.0	3.0	1.0	1.0	1.0	2.0	2.0	3.0	1	Learned_intermediary	1	1	2
99	6267c3d17f88988d0d787c7f	4	1.0	3.0	0.0	4.0	3.0	1.0	1.0	1.0	2.0	2.0	5.0	1	Learned_intermediary	1	1	2
100	6552b16899091e4aaa587d1b	4	1.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	2.0	1.0	4.0	1	Learned_intermediary	1	1	2
101	6496ef958d0761d8a3fdff52	4	0.0	1.0	1.0	4.0	4.0	3.0	1.0	1.0	2.0	3.0	2.0	1	Learned_intermediary	1	1	2
102	646184c4dd714ee460118417	4	0.0	4.0	0.0	4.0	5.0	5.0	1.0	1.0	2.0	1.0	2.0	1	Learned_intermediary	1	1	2
103	655a72ea33298201276c64df	4	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	2.0	1.0	5.0	1	Learned_intermediary	1	1	2
104	6548f1c15e6d25e5ab40d001	4	1.0	1.0	1.0	4.0	5.0	2.0	1.0	1.0	1.0	1.0	4.0	1	Learned_intermediary	1	1	2
105	5ba855d47c0ebe0001272f70	14	0.0	1.0	0.0	4.0	3.0	2.0	1.0	0.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
106	652c3486250595e2f18d3d7f	14	1.0	2.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	3.0	3.0	2	Remoteness_in_English_law	1	0	1
107	5faefcc22be93b11829e84df	14	0.0	1.0	0.0	4.0	3.0	1.0	1.0	0.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
108	60fe274c1a2f4578dafd24b1	14	1.0	1.0	0.0	4.0	4.0	4.0	1.0	0.0	1.0	2.0	4.0	2	Remoteness_in_English_law	1	0	1
109	65510e18d5c77d6aca4c119f	14	1.0	1.0	0.0	4.0	4.0	2.0	1.0	1.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
110	6400dfca384752e35f9f2e0b	14	1.0	2.0	0.0	4.0	3.0	3.0	1.0	0.0	1.0	1.0	4.0	2	Remoteness_in_English_law	1	0	1
111	656e8c0935854adf1b4ccce4	14	1.0	1.0	0.0	4.0	5.0	3.0	1.0	0.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
112	653152792d528bf6b55c4448	14	0.0	3.0	0.0	4.0	5.0	1.0	1.0	0.0	2.0	1.0	5.0	2	Remoteness_in_English_law	1	0	1
113	62b0ef77e3519ee19788db34	14	0.0	1.0	0.0	4.0	4.0	5.0	1.0	0.0	2.0	1.0	4.0	2	Remoteness_in_English_law	1	0	1
114	65105f08f043a03cc63c4802	14	1.0	2.0	1.0	4.0	4.0	1.0	1.0	0.0	1.0	3.0	2.0	2	Remoteness_in_English_law	1	0	1
115	6556a3e5e1d96020853db362	14	1.0	3.0	1.0	4.0	3.0	2.0	1.0	0.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
116	5f42d7f515c23f500bd34d57	14	1.0	2.0	0.0	4.0	4.0	2.0	3.0	2.0	2.0	1.0	4.0	2	Remoteness_in_English_law	1	0	1
117	646184c4dd714ee460118417	14	0.0	4.0	0.0	4.0	4.0	5.0	1.0	0.0	1.0	1.0	4.0	2	Remoteness_in_English_law	1	0	1
118	5f2cb797b8aecb1c7114e485	14	1.0	0.0	1.0	4.0	4.0	2.0	1.0	0.0	1.0	1.0	3.0	2	Remoteness_in_English_law	1	0	1
119	656382506fd5d60bfd660f95	14	0.0	0.0	1.0	4.0	4.0	2.0	3.0	1.0	1.0	4.0	2.0	2	Remoteness_in_English_law	1	0	1
120	614ef0f185fa0c76a6b17335	14	1.0	3.0	0.0	4.0	5.0	3.0	2.0	2.0	1.0	3.0	1.0	2	Remoteness_in_English_law	1	0	1
121	5ba855d47c0ebe0001272f70	15	0.0	1.0	0.0	4.0	3.0	2.0	1.0	3.0	0.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
122	652c3486250595e2f18d3d7f	15	1.0	2.0	1.0	4.0	4.0	4.0	2.0	2.0	2.0	4.0	3.0	2	Pacta_sunt_servanda	1	2	0
123	5faefcc22be93b11829e84df	15	0.0	1.0	0.0	4.0	3.0	2.0	1.0	2.0	0.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
124	60fe274c1a2f4578dafd24b1	15	1.0	1.0	0.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
125	65510e18d5c77d6aca4c119f	15	1.0	1.0	0.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	4.0	2	Pacta_sunt_servanda	1	2	0
126	6400dfca384752e35f9f2e0b	15	1.0	2.0	0.0	4.0	3.0	4.0	1.0	2.0	0.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
127	656e8c0935854adf1b4ccce4	15	1.0	1.0	0.0	4.0	5.0	3.0	1.0	2.0	0.0	1.0	4.0	2	Pacta_sunt_servanda	1	2	0
128	653152792d528bf6b55c4448	15	0.0	3.0	0.0	4.0	5.0	1.0	1.0	3.0	3.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
129	62b0ef77e3519ee19788db34	15	0.0	1.0	0.0	4.0	4.0	5.0	1.0	2.0	3.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
130	65105f08f043a03cc63c4802	15	1.0	2.0	1.0	4.0	4.0	4.0	1.0	2.0	0.0	1.0	1.0	2	Pacta_sunt_servanda	1	2	0
131	6556a3e5e1d96020853db362	15	1.0	3.0	1.0	4.0	3.0	3.0	1.0	2.0	0.0	1.0	4.0	2	Pacta_sunt_servanda	1	2	0
132	5f42d7f515c23f500bd34d57	15	1.0	2.0	0.0	4.0	4.0	2.0	1.0	3.0	3.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
133	646184c4dd714ee460118417	15	0.0	4.0	0.0	4.0	4.0	3.0	1.0	1.0	3.0	1.0	5.0	2	Pacta_sunt_servanda	1	2	0
134	5f2cb797b8aecb1c7114e485	15	1.0	0.0	1.0	4.0	4.0	3.0	1.0	2.0	0.0	2.0	2.0	2	Pacta_sunt_servanda	1	2	0
135	656382506fd5d60bfd660f95	15	0.0	0.0	1.0	4.0	4.0	2.0	1.0	3.0	2.0	1.0	3.0	2	Pacta_sunt_servanda	1	2	0
136	614ef0f185fa0c76a6b17335	15	1.0	3.0	0.0	4.0	5.0	2.0	1.0	1.0	0.0	1.0	4.0	2	Pacta_sunt_servanda	1	2	0
137	5ba855d47c0ebe0001272f70	17	0.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	3.0	1.0	4.0	2	Brady_disclosure	1	1	3
138	652c3486250595e2f18d3d7f	17	1.0	2.0	1.0	4.0	4.0	2.0	1.0	0.0	0.0	4.0	3.0	2	Brady_disclosure	1	1	3
139	5faefcc22be93b11829e84df	17	0.0	1.0	0.0	4.0	3.0	1.0	1.0	1.0	3.0	1.0	3.0	2	Brady_disclosure	1	1	3
140	60fe274c1a2f4578dafd24b1	17	1.0	1.0	0.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	5.0	2	Brady_disclosure	1	1	3
141	65510e18d5c77d6aca4c119f	17	1.0	1.0	0.0	4.0	4.0	2.0	1.0	1.0	3.0	3.0	4.0	2	Brady_disclosure	1	1	3
142	6400dfca384752e35f9f2e0b	17	1.0	2.0	0.0	4.0	3.0	2.0	1.0	1.0	3.0	2.0	4.0	2	Brady_disclosure	1	1	3
143	656e8c0935854adf1b4ccce4	17	1.0	1.0	0.0	4.0	5.0	1.0	1.0	1.0	3.0	1.0	2.0	2	Brady_disclosure	1	1	3
144	653152792d528bf6b55c4448	17	0.0	3.0	0.0	4.0	5.0	2.0	1.0	1.0	3.0	1.0	4.0	2	Brady_disclosure	1	1	3
145	62b0ef77e3519ee19788db34	17	0.0	1.0	0.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	5.0	2	Brady_disclosure	1	1	3
146	65105f08f043a03cc63c4802	17	1.0	2.0	1.0	4.0	4.0	1.0	1.0	1.0	3.0	3.0	1.0	2	Brady_disclosure	1	1	3
147	6556a3e5e1d96020853db362	17	1.0	3.0	1.0	4.0	3.0	2.0	1.0	1.0	3.0	2.0	3.0	2	Brady_disclosure	1	1	3
148	5f42d7f515c23f500bd34d57	17	1.0	2.0	0.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	4.0	2	Brady_disclosure	1	1	3
149	646184c4dd714ee460118417	17	0.0	4.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	5.0	2	Brady_disclosure	1	1	3
150	5f2cb797b8aecb1c7114e485	17	1.0	0.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	1.0	3.0	2	Brady_disclosure	1	1	3
151	656382506fd5d60bfd660f95	17	0.0	0.0	1.0	4.0	4.0	4.0	1.0	3.0	0.0	2.0	2.0	2	Brady_disclosure	1	1	3
152	614ef0f185fa0c76a6b17335	17	1.0	3.0	0.0	4.0	5.0	3.0	1.0	1.0	2.0	3.0	3.0	2	Brady_disclosure	1	1	3
153	5ba855d47c0ebe0001272f70	18	0.0	1.0	0.0	4.0	3.0	3.0	1.0	1.0	3.0	2.0	2.0	2	Undue_hardship	1	1	3
154	652c3486250595e2f18d3d7f	18	1.0	2.0	1.0	4.0	4.0	2.0	0.0	2.0	2.0	4.0	3.0	2	Undue_hardship	1	1	3
155	5faefcc22be93b11829e84df	18	0.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	3.0	1.0	2.0	2	Undue_hardship	1	1	3
156	60fe274c1a2f4578dafd24b1	18	1.0	1.0	0.0	4.0	4.0	4.0	1.0	1.0	3.0	1.0	3.0	2	Undue_hardship	1	1	3
157	65510e18d5c77d6aca4c119f	18	1.0	1.0	0.0	4.0	4.0	3.0	1.0	1.0	3.0	3.0	4.0	2	Undue_hardship	1	1	3
158	6400dfca384752e35f9f2e0b	18	1.0	2.0	0.0	4.0	3.0	2.0	1.0	1.0	3.0	1.0	3.0	2	Undue_hardship	1	1	3
159	656e8c0935854adf1b4ccce4	18	1.0	1.0	0.0	4.0	5.0	2.0	1.0	1.0	3.0	1.0	3.0	2	Undue_hardship	1	1	3
160	653152792d528bf6b55c4448	18	0.0	3.0	0.0	4.0	5.0	2.0	1.0	1.0	3.0	4.0	3.0	2	Undue_hardship	1	1	3
161	62b0ef77e3519ee19788db34	18	0.0	1.0	0.0	4.0	4.0	5.0	1.0	1.0	0.0	1.0	4.0	2	Undue_hardship	1	1	3
162	65105f08f043a03cc63c4802	18	1.0	2.0	1.0	4.0	4.0	2.0	1.0	1.0	3.0	3.0	1.0	2	Undue_hardship	1	1	3
163	6556a3e5e1d96020853db362	18	1.0	3.0	1.0	4.0	3.0	3.0	1.0	1.0	3.0	2.0	3.0	2	Undue_hardship	1	1	3
