	concept	q_id	story-comments	q1-issues	q2-issues	q3-issues
24	Pacta_sunt_servanda	8	grammar errors 	There is no issue.	There is no issue.	The question cannot be derived from the definition or story above.,There are more than one right answers in the 4 candidates.,Other issues not covered above
25	Pacta_sunt_servanda	8	None	There is no issue.	Other issues not covered above,There is no issue.	There is no issue.
26	Pacta_sunt_servanda	8	this story was very informative and useful	There are more than one right answers in the 4 candidates.	There is no issue.	There is no issue.
27	Plain_meaning_rule	9	nan	There is no issue.	The reasoning given in the suggested answer is wrong or flawed.	The reasoning given in the suggested answer is wrong or flawed.
28	Plain_meaning_rule	9	The story is a perfect simplification of the legal term.	There is no issue.	There are more than one right answers in the 4 candidates.,Other issues not covered above	There is no issue.
29	Plain_meaning_rule	9	the story is excellent. It is informative, engaging, and easy to read. It explains the underlying concepts in a digestible way	There is no issue.	There is no issue.	There is no issue.
30	Presumption_(Catholic_canon_law)	10	Simple and easy to understand.	Other issues not covered above,There is no issue.	There is no issue.	There is no issue.
31	Presumption_(Catholic_canon_law)	10	Simple and easy to read	There is no issue.	There is no issue.	The question is too easy and simple.
32	Presumption_(Catholic_canon_law)	10	The story hardly felt like a story, and more like.a sort of continuation of the attempt at a definition, 	There are more than one right answers in the 4 candidates.	The question is confusing.	There is no issue.
33	Prosecutorial_discretion	11	The story explains the legal term further.	There is no issue.	There is no issue.	There is no issue.
34	Prosecutorial_discretion	11	Complete and comprehensive 	There is no issue.	There is no issue.	There is no issue.
35	Prosecutorial_discretion	11	This was a great story. Compared to the first one it actually gives a chain of events that are relevant, 	There is no issue.	There is no issue.	There is no issue.
36	Purcell_principle	12	The illustration further explains the unclear words in the definition.	Other issues not covered above,There is no issue.	Other issues not covered above,There is no issue.	There is no issue.
37	Purcell_principle	12	Enjoyable to read	There is no issue.	The question is confusing.	There is no issue.
38	Purcell_principle	12	I would guess that if written by a person, that they were confused and simp0y regurgitated the definition text rather than actually understanding the concept.  	There are more than one right answers in the 4 candidates.	There is no issue.	There is no issue.
39	Remoteness_in_English_law	13	No comment.	There is no issue.	There is no issue.	There is no issue.
40	Remoteness_in_English_law	13	Highly Comprehensive	There is no issue.	There is no issue.	There is no issue.
41	Remoteness_in_English_law	13	Simple and effective reference to key moral legal issues. 	The reasoning given in the suggested answer is wrong or flawed.	There is no issue.	There is no issue.
42	Safe_harbor_(law)	14	The back up story is clear and concise, easy to understand.	There is no issue.	Other issues not covered above,There is no issue.	There is no issue.
43	Safe_harbor_(law)	14	Easy to understand 	There is no issue.	There is no issue.	There is no issue.
44	Safe_harbor_(law)	14	nan	There is no issue.	The question is too easy and simple.,The question is confusing.,There are more than one right answers in the 4 candidates.	There is no issue.
45	Substantial_certainty_doctrine	15	The story does not have a straightforward narrative.	There is no issue.	There is no issue.	Other issues not covered above,There is no issue.
46	Substantial_certainty_doctrine	15	nan	Other issues not covered above	There is no issue.	There are more than one right answers in the 4 candidates.
47	Substantial_certainty_doctrine	15	It is well worded so that it would be easy to explain to someone who did not have any legal knowledge 	There is no issue.	There is no issue.	There are more than one right answers in the 4 candidates.
48	Unaccompanied_minor	16	No comments.	There is no issue.	There is no issue.	The question is too easy and simple.,There is no issue.
49	Unaccompanied_minor	16	nan	The reasoning given in the suggested answer is wrong or flawed.,Other issues not covered above	There is no issue.	The question is too easy and simple.,The question cannot be derived from the definition or story above.
50	Unaccompanied_minor	16	it is written well so that it can be easily understood 	There is no issue.	The question is confusing.	There is no issue.
51	Undue_hardship	17	Clear and easy to understand example.	There are more than one right answers in the 4 candidates.	There is no issue.	Other issues not covered above,There is no issue.
52	Undue_hardship	17	nan	There are more than one right answers in the 4 candidates.	There is no issue.	The reasoning given in the suggested answer is wrong or flawed.
53	Undue_hardship	17	no comment	The reasoning given in the suggested answer is wrong or flawed.	The question is confusing.	There is no issue.
54	Volenti_non_fit_injuria	18	No comment.	There is no issue.	There are more than one right answers in the 4 candidates.,Other issues not covered above	There is no issue.
55	Volenti_non_fit_injuria	18	nan	There is no issue.	There are more than one right answers in the 4 candidates.,The reasoning given in the suggested answer is wrong or flawed.	The reasoning given in the suggested answer is wrong or flawed.
56	Volenti_non_fit_injuria	18	nan	There are more than one right answers in the 4 candidates.	There are more than one right answers in the 4 candidates.	There is no issue.
57	Wrongdoing	19	No comment.	There is no issue.	There is no issue.	There is no issue.
58	Wrongdoing	19	nan	The question is too easy and simple.	The question cannot be derived from the definition or story above.,There is no right answer in the 4 candidates.	The question is confusing.
59	Wrongdoing	19	nan	There is no issue.	There is no issue.	There are more than one right answers in the 4 candidates.
