concept	intro_text	word_count
Assured_clear_distance_ahead	In legal terminology, the assured clear distance ahead (ACDA) is the distance ahead of any terrestrial locomotive device such as a land vehicle, typically an automobile, or watercraft, within which they should be able to bring the device to a halt. It is one of the most fundamental principles governing ordinary care and the duty of care for all methods of conveyance, and is frequently used to determine if a driver is in proper control and is a nearly universally implicit consideration in vehicular accident liability. The rule is a precautionary trivial burden required to avert the great probable gravity of precious life loss and momentous damage. Satisfying the ACDA rule is necessary but not sufficient to comply with the more generalized basic speed law, and accordingly, it may be used as both a layman's criterion and judicial test for courts to use in determining if a particular speed is negligent, but not to prove it is safe. As a spatial standard of care, it also serves as required explicit and fair notice of prohibited conduct so unsafe speed laws are not void for vagueness. The concept has transcended into accident reconstruction and engineering.This distance is typically both determined and constrained by the proximate edge of clear visibility, but it may be attenuated to a margin of which beyond hazards may reasonably be expected to spontaneously appear. The rule is the specific spatial case of the common law basic speed rule, and an application of volenti non fit injuria. The two-second rule may be the limiting factor governing the ACDA, when the speed of forward traffic is what limits the basic safe speed, and a primary hazard of collision could result from following any closer.As the original common law driving rule preceding statutized traffic law, it is an ever important foundational rule in today's complex driving environment. Because there are now protected classes of roadway users–such as a school bus, mail carrier, emergency vehicle, horse-drawn vehicle, agricultural machinery, street sweeper, disabled vehicle, cyclist, and pedestrian–as well as natural hazards which may occupy or obstruct the roadway beyond the edge of visibility, negligence may not depend ex post facto on what a driver happened to hit, could not have known, but had a concurrent duty to avoid. Furthermore, modern knowledge of human factors has revealed physiological limitations–such as the subtended angular velocity detection threshold (SAVT) – which may make it difficult, and in some circumstance impossible, for other drivers to always comply with right-of-way statutes by staying clear of roadway.	419
Attractive_nuisance_doctrine	"The attractive nuisance doctrine applies to the law of torts in some jurisdictions. It states that a landowner may be held liable for injuries to children trespassing on the land if the injury is caused by an object on the land that is likely to attract children.  The doctrine is designed to protect children who are unable to appreciate the risk posed by the object, by imposing a liability on the landowner. The doctrine has been applied to hold landowners liable for injuries caused by abandoned cars, piles of lumber or sand, trampolines, and swimming pools. However, it can be applied to virtually anything on the property.
There is no set cutoff point that defines youth. The courts will evaluate each ""child"" on a case-by-case basis to see if the ""child"" qualifies as a youth. If it is determined that the child was able to understand and appreciate the hazard, the doctrine of attractive nuisance will not likely apply.Under the old common law, the plaintiff (either the child, or a parent suing on the child's behalf) had to show that it was the hazardous condition itself which lured the child onto the landowner's property. However, most jurisdictions have statutorily altered this condition, and now require only that the injury was foreseeable by the landowner.

"	214
Attribution_(law)	"Doctrines of attribution are legal doctrines by which liability is extended to a defendant who did not actually commit the criminal act.: 347  : 665  Examples include vicarious liability (when acts of another are imputed or ""attributed"" to a defendant), attempt to commit a crime (even though it was never completed), and conspiracy to commit a crime (when it is not completed or which is committed by another in the conspiracy).: 665 

"	72
Audi_alteram_partem	"Audi alteram partem (or audiatur et altera pars) is a Latin phrase meaning ""listen to the other side"", or ""let the other side be heard as well"". It is the principle that no person should be judged without a fair hearing in which each party is given the opportunity to respond to the evidence against them.""Audi alteram partem"" is considered to be a principle of fundamental justice or equity or the principle of natural justice in most legal systems. This principle includes the rights of a party or its lawyers to confront the witnesses against them, to have a fair opportunity to challenge the evidence presented by the other party, to summon one's own witnesses and to present evidence, and to have counsel, if necessary at public expense, in order to make one's case properly."	135
Basic_structure_doctrine	"The basic structure doctrine is a common law legal doctrine that the constitution of a sovereign state has certain characteristics that cannot be erased by its legislature. The doctrine is recognised in India, Bangladesh, Malaysia, Pakistan, and  Uganda. It was developed by the Supreme Court of India in a series of constitutional law cases in the 1960s and 1970s that culminated in Kesavananda Bharati v. State of Kerala, where the doctrine was formally adopted. Bangladesh is perhaps the only legal system in the world which recognizes this doctrine with an expressed, written and rigid constitutional manner through article 7B of its Constitution.
In Kesavananda, Justice Hans Raj Khanna propounded that the Constitution of India has certain basic features that cannot be altered or destroyed through amendments by the Parliament of India. Key among these ""basic features"", as expounded by Justice Khanna, are the fundamental rights guaranteed to individuals by the constitution. The doctrine thus forms the basis of the power of the Supreme Court of India to review and strike down constitutional amendments and acts enacted by the Parliament which conflict with or seek to alter this ""basic structure"" of the Constitution. The basic features of the Constitution have not been explicitly defined by the Judiciary, and the claim of any particular feature of the Constitution to be a ""basic"" feature is determined by the Court in each case that comes before it.
The Supreme Court's initial position on constitutional amendments had been that any part of the Constitution was amendable and that the Parliament might, by passing a Constitution Amendment Act in compliance with the requirements of article 368, amend any provision of the Constitution, including the Fundamental Rights and article 368.
In 1967, the Supreme Court reversed its earlier decisions in Golaknath v. State of Punjab. It held that Fundamental Rights included in Part III of the Constitution are given a ""transcendental position"" and are beyond the reach of Parliament. It also declared any amendment that ""takes away or abridges"" a Fundamental Right conferred by Part III as unconstitutional. In 1973, the basic structure doctrine was formally introduced with rigorous legal reasoning in Justice Hans Raj Khanna's decisive judgment in the landmark decision of Kesavananda Bharati v. State of Kerala. Previously, the Supreme Court had held that the power of Parliament to amend the Constitution was unfettered. However, in this landmark ruling, the Court adjudicated that while Parliament has ""wide"" powers, it did not have the power to destroy or emasculate the basic elements or fundamental features of the constitution.Although Kesavananda was decided by a narrow margin of 7–6, the basic structure doctrine, as propounded in Justice Khanna's judgement, has since gained widespread legal and scholarly acceptance due to a number of subsequent cases and judgments relying heavily upon it to strike down Parliamentary amendments that were held to be violative of the basic structure and therefore unconstitutional. Primary among these was the imposition of a state of emergency by Indira Gandhi in 1975, and her subsequent attempt to suppress her prosecution through the 39th Amendment. When the Kesavananda case was decided, the underlying apprehension of the majority bench that elected representatives could not be trusted to act responsibly was perceived as unprecedented. However, the passage of the 39th Amendment by the Indian National Congress' majority in central and state legislatures, proved that in fact such apprehension was well-grounded. In Indira Nehru Gandhi v. Raj Narain and Minerva Mills v. Union of India, Constitution Benches of the Supreme Court used the basic structure doctrine to strike down the 39th Amendment and parts of the 42nd Amendment respectively, and paved the way for restoration of Indian democracy.The Supreme Court's position on constitutional amendments laid out in its judgements is that Parliament can amend the Constitution but cannot destroy its ""basic structure"".
The basic structure doctrine was rejected by the High Court of Singapore. It was initially also rejected by the Federal Court of Malaysia, but was later accepted by it. Conversely, the doctrine was initially approved in Belize by the Supreme Court."	673
Beneficium_inventarii	"Beneficium inventarii (literally benefit of the inventory) is a legal doctrine introduced into Roman law by Justinian I to limit the liability of heirs resulting from an insolvent estate.The beneficium inventarii (French: bénéfice d'invenataire) also occurred in article 793 of the Napoleonic Code (1804), which became the basis of most of the following civil codes, in force in countries such as France and Italy.The doctrine, which is in force today in many civil law systems, applies to both wills and intestate successions. An heir may accept a succession under beneficium inventarii without being liable for the debts attaching to the estate or to the claims of legatees beyond the estate's value as previously determined by inventory.

"	116
Best_interests	"Best interests or best interests of the child is a child rights principle, which derives from Article 3 of the UN Convention on the Rights of the Child, which says that ""in all actions concerning children, whether undertaken by public or private social welfare institutions, courts of law, administrative authorities or legislative bodies, the best interests of the child shall be a primary consideration"". Assessing the best interests of a child means to evaluate and balance ""all the elements necessary to make a decision in a specific situation for a specific individual child or group of children""."	97
Blue_pencil_doctrine	"The blue pencil doctrine is a legal concept in common law countries in which a court finds that portions of a contract are void or unenforceable, but other portions of the contract are enforceable. The blue pencil rule allows the legally-valid enforceable provisions of the contract to stand despite the nullification of the legally-void unenforceable provisions. However, the revised version must represent the original meaning. The rule may not be invoked, for example, to delete the word ""not"" and thereby change a negative to a positive.

"	86
Boulevard_rule	"The boulevard rule is a principle in United States traffic law which states that the driver of a vehicle entering a highway from a smaller road or entrance (called the unfavored driver) must stop and yield the right of way to all highway traffic (the favored drivers).  The rule often comes into play in road accident cases, when a court must determine if a driver is negligent in causing a collision, due to his breach of the duty of care imposed by the rule on the unfavored driver.
Maryland is among the U.S. states which follow this rule, but not all states have similar provisions in statutes or case law. New York applies the rule to traffic entering public roads from private driveways or alleys, but not where public roads intersect.

"	131
Brady_disclosure	"In the legal system of the United States, a Brady disclosure consists of exculpatory or impeaching information and evidence that is material to the guilt or innocence or to the punishment of a defendant. The term comes from the 1963 U.S. Supreme Court case Brady v. Maryland, in which the Supreme Court ruled that suppression by the prosecution of evidence favorable to a defendant who has requested it violates due process.
Following Brady, the prosecutor must disclose evidence or information that would prove the innocence of the defendant or would enable the defense to more effectively impeach the credibility of government witnesses. Evidence that would serve to reduce the defendant's sentence must also be disclosed by the prosecution. In practice this doctrine has often proved difficult to enforce. Some states have established their own laws to try to strengthen enforcement against prosecutorial misconduct in this area."	146
Burden_of_proof_(law)	"In a legal dispute, one party has the burden of proof to show that they are correct, while the other party has no such burden and is presumed to be correct. The burden of proof requires a party to produce evidence to establish the truth of facts needed to satisfy all the required legal elements of the dispute. 
The burden of proof is usually on the person who brings a claim in a dispute. It is often associated with the Latin maxim semper necessitas probandi incumbit ei qui agit, a translation of which is: ""the necessity of proof always lies with the person who lays charges.""  In civil suits, for example, the plaintiff bears the burden of proof that the defendant's action or inaction caused injury to the plaintiff, and the defendant bears the burden of proving an affirmative defense. The burden of proof is on the prosecutor for criminal cases, and the defendant is presumed innocent. If the claimant fails to discharge the burden of proof to prove their case, the claim will be dismissed.

"	176
Calculus_of_negligence	"In the United States, the calculus of negligence, also known as the Hand rule, Hand formula, or BPL formula, is a term coined by Judge Learned Hand which describes a process for determining whether a legal duty of care has been breached (see negligence).  The original description of the calculus was in United States v. Carroll Towing Co., in which an improperly secured barge had drifted away from a pier and caused damage to several other boats.

"	77
Capacity_(law)	Legal capacity is a quality denoting either the legal aptitude of a person to have rights and liabilities (in this sense also called transaction capacity), or altogether the personhood itself in regard to an entity other than a natural person (in this sense also called legal personality).	47
Carltona_doctrine	"The Carltona doctrine (or Carltona principle) expresses the idea that, in United Kingdom law, the acts of government departmental officials are synonymous with the actions of the minister in charge of that department. The point was established in Carltona Ltd v Commissioners of Works.

"	44
Castle_doctrine	"A castle doctrine, also known as a castle law or a defense of habitation law, is a legal doctrine that designates a person's abode or any legally occupied place (for example, a vehicle or home) as a place in which that person has protections and immunities permitting one, in certain circumstances, to use force (up to and including deadly force) to defend oneself against an intruder, free from legal prosecution for the consequences of the force used. The term is most commonly used in the United States, though many other countries invoke comparable principles in their laws.
Depending on the location, a person may have a duty to retreat to avoid violence if one can reasonably do so. Castle doctrines lessen the duty to retreat when an individual is assaulted within one's own home. Deadly force may either be justified, the burdens of production and proof for charges impeded, or an affirmative defense against criminal homicide applicable, in cases ""when the actor reasonably fears imminent peril of death or serious bodily harm to him or herself or another"". The castle doctrine is not a defined law that can be invoked, but a set of principles which may be incorporated in some form in many jurisdictions. Castle doctrines may not provide civil immunity, such as from wrongful death suits, which have a much lower burden of proof.
Justifiable homicide in self-defense which happens to occur inside one's home is distinct, as a matter of law, from castle doctrine because the mere occurrence of trespassing—and occasionally a subjective requirement of fear—is sufficient to invoke the castle doctrine. The burden of proof of fact is much less challenging than that of justifying homicide in self-defense. It would be a misconception of law to infer that because a state has a justifiable homicide in self-defense provision pertaining to one's domicile, it has a castle doctrine protecting the estate and exonerating any duty whatsoever to retreat therefrom. The use of this legal principle in the United States has been controversial in relation to a number of cases in which it has been invoked, including the deaths of Japanese exchange student Yoshihiro Hattori and Scottish businessman Andrew de Vries.

"	363
Caveat_emptor	"Caveat emptor (; from caveat, ""may he/she beware"", a subjunctive form of cavēre, ""to beware"" + ēmptor, ""buyer"") is Latin for ""Let the buyer beware"". It has become a proverb in English. Generally, caveat emptor is the contract law principle that controls the sale of real property after the date of closing, but may also apply to sales of other goods.  The phrase caveat emptor and its use as a disclaimer of warranties arises from the fact that buyers typically have less information than the seller about the good or service they are purchasing.  This quality of the situation is known as 'information asymmetry'. Defects in the good or service may be hidden from the buyer, and only known to the seller.
It is a short form of Caveat emptor, quia ignorare non debuit quod jus alienum emit (""Let a purchaser beware, for he ought not to be ignorant of the nature of the property which he is buying from another party."")  I.e. the buyer should assure himself that the product is good and that the seller had the right to sell it, as opposed to receiving stolen property.
A common way that information asymmetry between seller and buyer has been addressed is through a legally binding warranty, such as a guarantee of satisfaction."	214
Child_migration	"Child migration or ""children in migration or mobility"" (sometimes more generally ""children on the move"") is the movement of people ages 3–18 within or across political borders, with or without their parents or a legal guardian, to another country or region. They may travel with or without legal travel documents. They may arrive to the destination country as refugees, asylum seekers, or economic migrants.

"	64
Clausula_rebus_sic_stantibus	"Clausula rebus sic stantibus is the legal doctrine allowing for a contract or a treaty to become inapplicable because of a fundamental change of circumstances. In public international law the doctrine essentially serves an ""escape clause"" to the general rule of pacta sunt servanda (promises must be kept).: 28  Because the doctrine is a risk to the security of treaties, as its scope is relatively unconfined, the conditions in which it may be invoked must be carefully noted.: 23–28 

"	79
Clean_hands	"Clean hands, sometimes called the clean hands doctrine, unclean hands doctrine, or dirty hands doctrine, is an equitable defense in which the defendant argues that the plaintiff is not entitled to obtain an equitable remedy because the plaintiff is acting unethically or has acted in bad faith with respect to the subject of the complaint—that is, with ""unclean hands"". The defendant has the burden of proof to show the plaintiff is not acting in good faith. The doctrine is often stated as ""those seeking equity must do equity"" or ""equity must come with clean hands"". This is a matter of protocol, characterised by A. P. Herbert in Uncommon Law by his fictional Judge Mildew saying (as Herbert says, ""less elegantly""), ""A dirty dog will not have justice by the court"".A defendant's unclean hands can also be claimed and proven by the plaintiff to claim other equitable remedies and to prevent that defendant from asserting equitable affirmative defenses. In other words, 'unclean hands' can be used offensively by the plaintiff as well as defensively by the defendant. Historically, the doctrine of unclean hands can be traced as far back as the Fourth Lateran Council.""He who comes into equity must come with clean hands"" is an equitable maxim in English law.

"	209
Collateral_source_rule	"The collateral source rule, or collateral source doctrine, is an American case law evidentiary rule that prohibits the admission of evidence that the plaintiff or victim has received compensation from some source other than the damages sought against the defendant. The purpose of the rule is to ensure that the wrongful party pays the full cost of the harm caused, so that future harmful conduct is thereby deterred or, at least, fully included in the defendant's cost of doing business.  Subrogation and indemnification principles then commonly provide that the person who paid the initial compensation to the plaintiff or victim has a right to recover any double recovery from the plaintiff or victim.  For example, in a personal injury action, evidence that the plaintiff's medical bills were paid by medical insurance, or by workers' compensation, is not generally admissible and the plaintiff can recover the amount of those bills from the defendant. If the plaintiff then collects the amount of medical bills from the defendant, that amount is then typically paid by the plaintiff to the insurance carrier under principles of subrogation and indemnification.
The collateral source doctrine has come under attack by tort reform advocates. They argue that if the plaintiff's injuries and damages have already been compensated, it is unfair and duplicative to allow an award of damages against the tortfeasor. As a result some states have altered or partially abrogated the rule by statute.  Proponents of the rule note that without it, the wrongdoer [tortfeasor] gets the benefit of the injured party carrying insurance or obtaining minimal benefits through government programs and obtains a form of subsidy where the wrongdoer does not pay the full cost of their wrongful conduct but instead transfers some of that cost [insurance premiums] to the victims causing insurance rates to be higher.  
Nevertheless, some courts have held that the rule ought not to provide a safe haven in a contract action for an unfaithful contracting party.

"	325
Command_responsibility	"In the practice of international law, command responsibility (also the Yamashita standard, the Medina standard, and superior responsibility) is the legal doctrine of hierarchical accountability for war crimes, whereby a commanding officer (military) and a superior officer (civil) is legally responsible for the war crimes and the crimes against humanity committed by his subordinates; thus, a commanding officer always is accountable for the acts of commission and the acts of omission of his soldiers.In the late 19th century, the legal doctrine of command responsibility was codified in the Hague Conventions of 1899 and 1907, which are partly based upon the Lieber Code (General Orders No. 100, 24 April 1863), military law that legally allowed the Union Army to fight in the regular and the irregular modes of warfare deployed by the Confederacy during the American Civil War (1861–1865). As international law, the legal doctrine and the term command responsibility were applied and used in the Leipzig war crimes trials (1921) that included the trial of Captain Emil Müller for prisoner abuse committed by his soldiers during the First World War (1914–1918).In the 20th century, in the late 1940s, the Yamashita standard derived from the incorporation to the U.S. Code of the developments of the legal doctrine of command responsibility presented in the Nuremberg trials (1945–1946). Abiding by that legal precedent, the U.S. Supreme Court allowed the U.S. prosecution of the war crimes case against Imperial Japanese Army General Tomoyuki Yamashita for the atrocities committed by his soldiers in the Philippine Islands, in the Pacific Theatre (1941–1945) of the Second World War. The International Military Tribunal for the Far East charged, tried, and judged Gen. Yamashita for ""unlawfully disregarding, and failing to discharge, his duty as a commander to control the acts of members of his command, by permitting them to commit war crimes"".In the 20th century, in the early 1970s, the Medina standard expanded the U.S. Code to include the criminal liability of American military officers for the war crimes committed by their subordinates, as are the war-criminal military officers of an enemy power. The Medina standard was established in the court martial of U.S. Army Captain Ernest Medina in 1971 for not exercising his command authority as company commander, by not acting to halt the My Lai Massacre (16 March 1968) committed by his soldiers during the Vietnam War (1955–1975).

"	391
Commanding_precedent	"In law, a commanding precedent is a precedent whose facts are ""on all fours"" with the case at hand. In other words, it almost exactly tracks it, sharing near-identical facts and issues. A commanding precedent is also referred to as a ""Goose"" case in Louisiana; ""Spotted Horse"" or ""Spotted Dog"" cases in Alabama; ""Cow"" case in Kansas; and ""White Horse"" or ""White Pony"" cases in Texas. A legal rule can be ""clearly established"" without commanding precedent existing. For example, in the United States, a governmental official is generally protected by qualified immunity if his acts were objectively legally reasonable, but such protection may not apply if, in light of pre-existing law, the unlawfulness of his conduct would have been apparent to a reasonably competent official, even if no commanding precedent applicable to his specific behavior existed.

"	136
Common_employment	"Common employment was an historical defence in English tort law that said workers implicitly undertook the risks of being injured by their co-workers, with whom they were in ""common employment"". The US labor law terminology was the ""fellow servant rule"".

"	40
Comparative_negligence	"Comparative negligence, called non-absolute contributory negligence outside the United States, is a partial legal defense that reduces the amount of damages that a plaintiff can recover in a negligence-based claim, based upon the degree to which the plaintiff's own negligence contributed to cause the injury. When the defense is asserted, the factfinder, usually a jury, must decide the degree to which the plaintiff's negligence and the combined negligence of all other relevant actors all contributed to cause the plaintiff's damages. It is a modification of the doctrine of contributory negligence that disallows any recovery by a plaintiff whose negligence contributed even minimally to causing the damages.

"	106
Condemned_property	"A condemned property or a condemned building is a property or building that local (usually municipal) authorities have closed, seized, or placed restrictions on for various reasons, including public safety and public health, in accordance with local ordinance.

"	38
Consideration	"Consideration is a concept of English common law and is a necessity for simple contracts but not for special contracts (contracts by deed). The concept has been adopted by other common law jurisdictions.
The court in Currie v Misa declared consideration to be a “Right,  Interest,  Profit,  Benefit, or Forbearance,  Detriment,  Loss,  Responsibility”. Thus, consideration is a promise of something of value given by a promissor in exchange for something of value given by a promisee; and typically the thing of value is goods, money, or an act. Forbearance to act, such as an adult promising to refrain from smoking, is enforceable only if one is thereby surrendering a legal right.Consideration may be thought of as the concept of value offered and accepted by people or organisations entering into contracts. Anything of value promised by one party to the other when making a contract can be treated as ""consideration"": for example, if A contracts to buy a car from B for $5,000, A's consideration is the promise of $5,000, and B's consideration is the promise of the car.
Additionally, if A signs a contract with B such that A will paint B's house for $500, A's consideration is the service of painting B's house, and B's consideration is $500 paid to A. Further if A signs a contract with B such that A will not repaint his own house in any other colour than white, and B will pay A $500 per year to keep this deal up, there is also a consideration. Although A did not promise to affirmatively do anything, A did promise not to do something that he was allowed to do, and so A did pass consideration. A's consideration to B is the forbearance in painting his own house in a colour other than white, and B's consideration to A is $500 per year. Conversely, if A signs a contract to buy a car from B for $0, B's consideration is still the car, but A is giving no consideration, and so there is no valid contract. However, if B still gives the title to the car to A, then B cannot take the car back, since, while it may not be a valid contract, it is a valid gift.
In common law it is a prerequisite that both parties offer consideration before a contract can be thought of as binding. The doctrine of consideration is irrelevant in many jurisdictions, although contemporary commercial litigant relations have held the relationship between a promise and a deed is a reflection of the nature of contractual considerations. If there is no element of consideration found, there is thus no contract formed.
However, even if a court decides there is no contract, there might be a possible recovery under the doctrines of quantum meruit (sometimes referred to as a quasi-contract) or promissory estoppel."	473
Constitutional_convention_(political_custom)	"A constitutional convention is an informal and uncodified tradition that is followed by the institutions of a state. In some states, notably those Commonwealth of Nations states that follow the Westminster system and whose political systems derive from British constitutional law, most government functions are guided by constitutional convention rather than by a formal written constitution.
In these states, actual distribution of power may be markedly different from those the formal constitutional documents describe. In particular, the formal constitution often confers wide discretionary powers on the head of state that, in practice, are used only on the advice of the head of government, and in some cases not at all.
Some constitutional conventions operate separately from or alongside written constitutions, such as in Canada since the country was formed with the enactment of the Constitution Act, 1867. In others, notably the United Kingdom, which lack a single overarching constitutional document, unwritten conventions are still of vital importance in understanding how the state functions. In most states, however, many old conventions have been replaced or superseded by laws (called codification)."	179
Constitutional_conventions_of_the_United_Kingdom	The United Kingdom has an uncodified constitution. The constitution consists of legislation, common law, Crown prerogative and constitutional conventions. Conventions may be written or unwritten. They are principles of behaviour which are not legally enforceable, but form part of the constitution by being enforced on a political, professional or personal level. Written conventions can be found in the Ministerial Code, Cabinet Manual, Guide to Judicial Conduct, Erskine May and even legislation. Unwritten conventions exist by virtue of long-practice or may be referenced in other documents such as the Lascelles Principles.	90
Contra_principia_negantem_non_est_disputandum	"Contra principia negantem non est disputandum (Latin, alternatively Contra principia negantem disputari non potest and Contra principia negantem disputari nequit; literally, ""Against one who denies the principles, there can be no debate"") is a principle of logic and law: in order to debate reasonably about a disagreement, there must be agreement about the principles or facts by which to judge the arguments.

"	62
Contra_proferentem	"Contra proferentem (Latin: ""against [the] offeror""), also known as ""interpretation against the draftsman"", is a doctrine of contractual interpretation providing that, where a promise, agreement or term is ambiguous, the preferred meaning should be the one that works against the interests of the party who provided the wording.

"	48
Contributory_negligence	"In some common law jurisdictions, contributory negligence is a defense to a tort claim based on negligence. If it is available, the defense completely bars plaintiffs from any recovery if they contribute to their own injury through their own negligence.Because the contributory negligence doctrine can lead to harsh results, many common law jurisdictions have abolished it in favor of a ""comparative fault"" or ""comparative negligence"" approach. A comparative negligence approach reduces the plaintiff's damages award by the percentage of fault the fact-finder assigns to the plaintiff for their own injury. For example, if a jury thinks the plaintiff is 30% at fault, the plaintiff's damages award will be reduced by 30%.

"	111
Corporate_opportunity	"The corporate opportunity doctrine is the legal principle providing that directors, officers, and controlling shareholders of a corporation must not take for themselves any business opportunity that could benefit the corporation.  The corporate opportunity doctrine is one application of the fiduciary duty of loyalty.

"	44
Correlative_rights_doctrine	The correlative rights doctrine is a legal doctrine limiting the rights of landowners to a common source of groundwater (such as an aquifer) to a reasonable share, typically based on the amount of land owned by each on the surface above.  This doctrine is also applied to oil and gas in some U.S. states.	54
