concept	concept_question		prediction_question		limitation_question		Concept Difficulty
Purcell_principle	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Presumption_(Catholic_canon_law)	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Wrongdoing	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Remoteness_in_English_law	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Pacta_sunt_servanda	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) No.  (2) Instead of choosing the suggested answer C, I selected B on the reasoning that "agreements must be kept" is a normative statement which addresses what should happen, rather than a descriptive statements that provides what must happen as a matter of fact. On that assumption, I believed that the contract can certainly be breached as long as one party chooses to do so but such party must face legal consequences because it should have breached the contract.  The suggested answer proceeds on a different assumption - it assumes that actions in the world striclty comply with the "Pacta sunt servanda" doctrine and accordingly the party just would not breach the contract.  (3) My suggestion: The prompt of the question should change to "According to the principle of 'Pacta sunt servanda', if a party breaches a contract, what should happen" or "Assuming that all people in the world take actions in strict compliance with the doctrine 'Pacta sunt servanda', what would happen?" This would help provide clarity on the underlying assumptions of the question. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Medium
Maxwellisation	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Brady_disclosure	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Undue_hardship	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Commanding_precedent	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
							
Disclaimer: The person who recorded the responses in this spreadsheet, as of the time such responses were recorded, is not admitted to practice law in any jurisdiction. The responses in this spreadsheet are recorded solely for educational purpose and for the benefit of Hang Jiang and his associates' research at the Massachusetts Institute of Technology. The responses do not constitute any legal advice or indicate existence of any attorney-client relationships, or that the responder has been admitted to practice law in any capacity.							
