concept	intro_text	word_count
Comparative_negligence	"Comparative negligence, called non-absolute contributory negligence outside the United States, is a partial legal defense that reduces the amount of damages that a plaintiff can recover in a negligence-based claim, based upon the degree to which the plaintiff's own negligence contributed to cause the injury. When the defense is asserted, the factfinder, usually a jury, must decide the degree to which the plaintiff's negligence and the combined negligence of all other relevant actors all contributed to cause the plaintiff's damages. It is a modification of the doctrine of contributory negligence that disallows any recovery by a plaintiff whose negligence contributed even minimally to causing the damages.

"	106
Constitutional_convention_(political_custom)	"A constitutional convention is an informal and uncodified tradition that is followed by the institutions of a state. In some states, notably those Commonwealth of Nations states that follow the Westminster system and whose political systems derive from British constitutional law, most government functions are guided by constitutional convention rather than by a formal written constitution.
In these states, actual distribution of power may be markedly different from those the formal constitutional documents describe. In particular, the formal constitution often confers wide discretionary powers on the head of state that, in practice, are used only on the advice of the head of government, and in some cases not at all.
Some constitutional conventions operate separately from or alongside written constitutions, such as in Canada since the country was formed with the enactment of the Constitution Act, 1867. In others, notably the United Kingdom, which lack a single overarching constitutional document, unwritten conventions are still of vital importance in understanding how the state functions. In most states, however, many old conventions have been replaced or superseded by laws (called codification)."	179
Contributory_negligence	"In some common law jurisdictions, contributory negligence is a defense to a tort claim based on negligence. If it is available, the defense completely bars plaintiffs from any recovery if they contribute to their own injury through their own negligence.Because the contributory negligence doctrine can lead to harsh results, many common law jurisdictions have abolished it in favor of a ""comparative fault"" or ""comparative negligence"" approach. A comparative negligence approach reduces the plaintiff's damages award by the percentage of fault the fact-finder assigns to the plaintiff for their own injury. For example, if a jury thinks the plaintiff is 30% at fault, the plaintiff's damages award will be reduced by 30%.

"	111
Crumbling_skull_rule	"The crumbling skull rule is a well-established legal doctrine used in some tort law systems.  It holds that where a plaintiff had a condition or injury that predates the tort and would have naturally deteriorated or worsened over time (e.g. a crumbling skull), the defendant is not responsible to the degree that the condition or injury would have naturally worsened over time.  A defendant is only liable for the degree the injury was worsened or the hastening or acceleration of the damage caused by the tort.  The crumbling skull rule should not be confused with the related thin skull rule.The concept is sometimes applied without specific reference to the crumbling skull rule, instead being expressed as a non-absolute application of the thin skull rule.

"	124
Desuetude	"In law, desuetude (; from French  désuétude, from Latin  desuetudo 'outdated, no longer custom') is a doctrine that causes statutes, similar legislation, or legal principles to lapse and become unenforceable by a long habit of non-enforcement or lapse of time.  It is what happens to laws that are not repealed when they become obsolete.  It is the legal doctrine that long and continued non-use of a law renders it invalid, at least in the sense that courts will no longer tolerate punishing its transgressors.The policy of inserting sunset clauses into a constitution or charter of rights (as in Canada since 1982) or into regulations and other delegated/subordinate legislation made under an act (as in Australia since the early 1990s) can be regarded as a statutory codification of this jus commune doctrine.

"	131
Discovery_doctrine	The discovery doctrine, or doctrine of discovery, is a disputed interpretation of international law during the Age of Discovery, introduced into United States municipal law by the US Supreme Court Justice John Marshall in Johnson v. McIntosh (1823). In Marshall's formulation of the doctrine, discovery of territory previously unknown to Europeans gave the discovering nation title to that territory against all other European nations, and this title could be perfected by possession. A number of legal scholars have criticized Marshall's interpretation of the relevant international law. In recent decades, advocates for Indigenous rights have campaigned against the doctrine. In 2023, the Vatican formally repudiated the doctrine.	106
Doctrine_of_cash_equivalence	"The Doctrine of Cash Equivalence states that the U.S. Federal income tax law treats certain non-cash payment transactions like cash payment transactions for federal income tax purposes. The doctrine is used most often for deciding when cash method (as opposed to accrual method) taxpayers are to include certain non-cash income items.  Another doctrine often used when trying to determine the timing of the inclusion of income is the constructive receipt doctrine.Most individuals begin as cash method taxpayers because their first form of bookkeeping is a checkbook. In contrast, some businesses start as accrual method taxpayers because businesses use different rules for recording income and expenditures. The Internal Revenue Code (IRC) § 446(a) states, however, that  ""[t]axable income shall be computed under the method of accounting on the basis which the taxpayer regularly computes his income in keeping his books.""One of the major advantages to the cash method of accounting is the ability to defer taxation because the recognition of income applicable to amounts in accounts receivable can be deferred to a later year. The Doctrine of Cash Equivalence is important because many people are cash method taxpayers and would be subject to this rule.

"	194
Doctrine_of_chances	"In law, the doctrine of chances is a rule of evidence that allows evidence to show that it is unlikely a defendant would be repeatedly, innocently involved in similar, suspicious circumstances.
Normally, under Federal Rule of Evidence 404, evidence of other crimes, wrongs, or acts is not admissible to prove the character of a person in order to show action in conformity therewith.
Using the doctrine of chances allows a prosecutor to admit evidence of prior ""accidents"" that can persuade a jury that prior incidents are so similar that it is very improbable that the case at bar is actually accidental.
The doctrine of chances was first developed by English courts in the case Rex v. Smith, 11 Cr. App. R. 229, 84 L.J.K.B. 2153 (1915), better known as the ""brides in the bath murder"". In this case the defendant was accused of murdering his wife by drowning her in a bath. The defendant claimed that his wife had fainted in the bath. The prosecutor sought to include evidence in the trial that the defendant's two previous wives had both died in the same way. The evidence was allowed.

"	189
Doctrine_of_foreign_equivalents	"This article discusses the trademark doctrine regarding translation of foreign words. For the patent doctrine regarding equivalent means to practice an invention, see Doctrine of equivalents.The doctrine of foreign equivalents is a rule applied in United States trademark law which requires courts and the TTAB to translate foreign words in determining whether they are registrable as trademarks, or confusingly similar with existing marks. The doctrine is intended to protect consumers within the United States from confusion or deception caused by the use of terms in different languages. In some cases, a party will use a word as a mark which is either generic or merely descriptive of the goods in a foreign language, or which shares the same meaning as an existing mark to speakers of that foreign language.

"	129
Doctrine_of_necessity	"The doctrine of necessity is the basis on which extraordinary actions by administrative authority, which are designed to restore order or uphold fundamental constitutional principles, are considered to be lawful even if such an action contravenes established constitution, laws, norms, or conventions. The maxim on which the doctrine is based originated in the writings of the medieval jurist Henry de Bracton, and similar justifications for this kind of extra-legal action have been advanced by more recent legal authorities, including William Blackstone.In a controversial 1954 judgment, Pakistani Chief Justice Muhammad Munir validated the extra-constitutional use of emergency powers by Governor General, Ghulam Mohammad. In his judgment, the Chief Justice cited Bracton's maxim, 'that which is otherwise not lawful is made lawful by necessity', thereby providing the label that would come to be attached to the judgment and the doctrine that it was establishing.
The doctrine of necessity may also refer to the necessity of a judge with a reasonable apprehension of bias continuing to decide a matter if there is no alternative to that judge. The Supreme Court of Canada applied this doctrine in the 1998 Reference re Remuneration of Judges (No 2) case.

"	193
Double_aspect_doctrine	"The Double aspect doctrine in Canadian constitutional law is one that allows for laws to be created by both provincial and federal governments in relation to the same subject matter. Typically, the federalist system assigns subject matters of legislation to a single head of power. However, certain matters have several dimensions to them, such that for one purpose the matter will fall to one head of power, while for another purpose, it will fall to the other. For example, highway traffic laws fall into the property and civil rights power of the province, but equally, can be a criminal offence which is in the criminal law power of the federal government.
The origin of the doctrine comes from the 1883 Privy Council decision of Hodge v. The Queen, where it was stated that ""subjects which in one aspect and for one purpose fall within s. 92, may in another aspect and for another purpose fall within s. 91"".

"	158
Duty_of_care	"In tort law, a duty of care is a legal obligation that is imposed on an individual, requiring adherence to a standard of reasonable care to avoid careless acts that could foreseeably harm others, and lead to claim in negligence. It is the first element that must be established to proceed with an action in negligence. The claimant must be able to show a duty of care imposed by law that the defendant has breached. In turn, breaching a duty may subject an individual to liability. The duty of care may be imposed by operation of law between individuals who have no current direct relationship (familial or contractual or otherwise) but eventually become related in some manner, as defined by common law (meaning case law).
Duty of care may be considered a formalisation of the social contract, the established and implicit responsibilities held by individuals/entities towards others within society. It is not a requirement that a duty of care be defined by law, though it will often develop through the jurisprudence of common law."	174
Duty_to_rescue	"A duty to rescue is a concept in tort law that arises in a number of cases, describing a circumstance in which a party can be held liable for failing to come to the rescue of another party who could face potential injury or death without being rescued.  In common law systems, it is rarely formalized in statutes which would bring the penalty of law down upon those who fail to rescue.  This does not necessarily obviate a moral duty to rescue: though law is binding and carries government-authorized sanctions and awarded civil penalties, there are also separate ethical arguments for a duty to rescue even where law does not punish failure to rescue.

"	114
Economic_substance	"Economic substance is a doctrine in the tax law of the United States under which a transaction must have both a substantial purpose aside from reduction of tax liability and an economic effect aside from the tax effect in order to qualify for any tax benefits. This doctrine is used by the Internal Revenue Service to determine whether tax shelters, or strategies used to reduce tax liability, are considered ""abusive"". Under the doctrine, for a transaction to be respected, the transaction must change the taxpayer's economic position in a ""meaningful way"" apart from the Federal income tax effects, and the taxpayer must have had a ""substantial purpose"" for entering into the transaction, apart from the Federal income tax effects.The economic substance doctrine was originally a common law doctrine. The doctrine was codified in subsection (o) of section 7701 of the Internal Revenue Code by the Health Care and Education Reconciliation Act of 2010.

"	153
Emergency	"An emergency is an urgent, unexpected, and usually dangerous situation that poses an immediate risk to health, life, property, or environment and requires immediate action.  Most emergencies require urgent intervention to prevent a worsening of the situation, although in some situations, mitigation may not be possible and agencies may only be able to offer palliative care for the aftermath.
While some emergencies are self-evident (such as a natural disaster that threatens many lives), many smaller incidents require that an observer (or affected party) decide whether it qualifies as an emergency.
The precise definition of an emergency, the agencies involved and the procedures used, vary by jurisdiction, and this is usually set by the government, whose agencies (emergency services) are responsible for emergency planning and management."	125
Equal_authenticity_rule	"The equal authenticity rule (French: règle d’égale autorité) is a rule of judicial interpretation developed by Canadian courts as a way of interpreting laws written in parallel French and English texts. The constitution of Canada requires that both versions of each bilingual law be treated as equally authoritative, which can result in problems when the English and French versions are incongruent. The equal authenticity rule is derived from section 133 of the Constitution Act, 1867, which states, inter alia, ""The Acts of the Parliament of Canada and the Legislature of Quebec shall be printed and published in both those Languages [i.e. both English and French].""

"	105
Equity_(law)	"Equity is a particular body of law that was developed in the English Court of Chancery. Its general purpose is to provide a remedy for situations where the law is not flexible enough for the usual court system to deliver a fair resolution to a case. The concept of equity is deeply intertwined with its historical origins in the common law system used in England. However, equity is in some ways a separate system from common law: it has its own established rules and principles, and was historically administered by separate courts, called ""courts of equity"" or ""courts of chancery"".Equity exists in domestic law, both in civil law and in common law systems, and in international law. The tradition of equity begins in antiquity with the writings of Aristotle (epieikeia) and with Roman law (aequitas). Later, in civil law systems, equity was integrated in the legal rules, while in common law systems it became an independent body of law.

"	159
Erie_doctrine	"The Erie doctrine is a fundamental legal doctrine of civil procedure in the United States which mandates that a federal court called upon to resolve a dispute not directly implicating a federal question (most commonly when sitting in diversity jurisdiction, but also when applying supplemental jurisdiction to claims factually related to a federal question or in an adversary proceeding in bankruptcy) must apply state substantive law.
The doctrine follows from the Supreme Court landmark decision in Erie Railroad Co. v. Tompkins (1938). The case overturned Swift v. Tyson, which allowed federal judges sitting in a state to ignore the common law local decisions of state courts in the same state in diversity actions."	113
Essential_facilities_doctrine	"The essential facilities doctrine (sometimes also referred to as the essential facility doctrine) is a legal doctrine which describes a particular type of claim of monopolization made under competition laws.  In general, it refers to a type of anti-competitive behavior in which a firm with market power uses a ""bottleneck"" in a market to deny competitors entry into the market.  It is closely related to a claim for refusal to deal.
The doctrine has its origins in United States law, but it has been adopted (often with some modification) into the legal systems of the United Kingdom, Australia, South Africa, and the European Union."	104
Everything_which_is_not_forbidden_is_allowed	"""Everything which is not forbidden is allowed"" is a legal maxim. It is the concept that any action can be taken unless there is a law against it. It is also known in some situations as the ""general power of competence"" whereby the body or person being regulated is acknowledged to have competent judgement of their scope of action.
The opposite principle ""everything which is not allowed is forbidden"" states that an action can only be taken if it is specifically allowed.
A senior English judge, Sir John Laws, stated the principles as: ""For the individual citizen, everything which is not forbidden is allowed; but for public bodies, and notably government, everything which is not allowed is forbidden."" Legal philosopher Ota Weinberger put it this way: ""In a closed system in which all obligations are stated explicitly the following inference rules are valid: (XI) Everything which is not forbidden is allowed"".

"	151
Ex_turpi_causa_non_oritur_actio	"Ex turpi causa non oritur actio (Latin ""from a dishonorable cause an action does not arise"") is a legal doctrine which states that a plaintiff will be unable to pursue legal relief and damages if it arises in connection with their own tortious act. Particularly relevant in the law of contract, tort and trusts, ex turpi causa is also known as the illegality defence, since a defendant may plead that even though, for instance, he broke a contract, conducted himself negligently or broke an equitable duty, nevertheless a claimant by reason of his own illegality cannot sue. The UK Supreme Court provided a thorough reconsideration of the doctrine in 2016 in Patel v Mirza.

"	114
Exhausted_combination_doctrine	"The exhausted combination doctrine, also referred to as the doctrine of the Lincoln Engineering case, was the doctrine of U.S. patent law that when an inventor invents a new, unobvious device and seeks to patent not merely the new device but also the combination of the new device with a known, conventional device with which the new device cooperates in the conventional and predictable way in which devices of those types have previously cooperated, the combination is unpatentable as an ""exhausted combination"" or ""old combination"".  The doctrine is also termed the doctrine of the Lincoln Engineering case because the United States Supreme Court explained the doctrine in its decision in Lincoln Engineering Co. v. Stewart-Warner Corp. This doctrine has been considered abrogated by the US Congress in 1952, when it passed the 1952 Patent Act."	135
Finality_(law)	"Finality, in law, is the concept that certain disputes must achieve a resolution from which no further appeal may be taken, and from which no collateral proceedings may be permitted to disturb that resolution. For example, in some jurisdictions, those convicted of a crime may not sue their defence attorney for incompetence or legal malpractice if the civil lawsuit would call into question the finality of the criminal conviction.
Finality is considered to be important because otherwise, there would be no certainty as to the meaning of the law, or the outcome of any legal process. The principle is an aspect of the separation of powers, that being a distinction between the executive and the judicial power. That concept was defined in Kable v Director of Public Prosecutions (NSW) in which a court stated that unless orders were valid until set aside, ""the exercise of judicial power could yield no adjudication of right and liability to which immediate effect could be given"". 
The importance of finality is the source of the concept of res judicata: the decisions of one court are settled law and may not be retried in another case brought in a different court. 

"	196
First-sale_doctrine	"The first-sale doctrine (also sometimes referred to as the ""right of first sale"" or the ""first sale rule"") is an American legal concept that limits the rights of an intellectual property owner to control resale of products embodying its intellectual property. The doctrine enables the distribution chain of copyrighted products, library lending, giving, video rentals and secondary markets for copyrighted works (for example, enabling individuals to sell their legally purchased books or CDs to others). In trademark law, this same doctrine enables reselling of trademarked products after the trademark holder puts the products on the market. In the case of patented products, the doctrine allows resale of patented products without any control from the patent holder.  The first sale doctrine does not apply to patented processes, which are instead governed by the patent exhaustion doctrine."	135
Floodgates_principle	"The floodgates principle, or the floodgates argument, is a legal principle which is sometimes applied by judges to restrict or limit the right to make claims for damages because of a concern that permitting a claimant to recover in such situations might open the metaphorical ""floodgates"" to large numbers of claims and lawsuits.  The principle is most frequently cited in common law jurisdictions, and in English tort law in particular.
Most of the situations in which the courts have employed the floodgates argument have revolved around liability in tort, and in particular in relation to the liability for nervous shock or for pure economic loss. The rationale in which the floodgates principle has been applied may vary. In some cases it is expressed to be a constraint upon when a defendant will owe a duty of care, in others it is expressed to be a limitation upon the remoteness of damage for which a defendant should be held responsible for.  In other cases it is simply stated as a principle of public policy.
The floodgates principle is arguably the antithesis of the legal maxim: fiat justitia ruat caelum (""let justice be done though the heavens fall"").

"	196
FTC_v._Dean_Foods_Co.	"FTC v. Dean Foods Co., 384 U.S. 597 (1966), is a 1966 decision of the United States Supreme Court holding that the Federal Trade Commission (FTC) may sue in federal court to obtain a preliminary injunction to maintain the status quo against the consummation of a merger that the agency persuasively contends violates the antitrust laws.More broadly, the Dean Foods case stands for the proposition that a federal agency may, by invoking the ""All Writs Act,"" seek equitable relief in federal court against a person's threatened action that will substantially interfere with the agency's performance of its statutory duty and thus adversely affect the relevant court's ability to review the agency's ultimate order with respect to the threatened action.

"	119
Functionality_doctrine	"In United States trademark law, the functionality doctrine prevents manufacturers from protecting specific features of a product by means of trademark law.  There are two branches of the functionality doctrine: utilitarian functionality and aesthetic functionality. The rationale behind functionality doctrine is that product markets would not be truly competitive if newcomers could not make a product with a feature that consumers demand. Utilitarian functionality provides grounds to deny federal trademark protection to product features which do something useful.  Patent law, not trademark, protects useful processes, machines, and material inventions.  Patented designs are presumed to be functional until proven otherwise.  Aesthetic functionality  provides grounds to deny trademark protection to design features which are included to make the product more aesthetically appealing and commercially desirable.  Aesthetic features are within the purview of copyright law, which provides protection to creative and original works of authorship.

"	142
Fundamental_breach	"Fundamental breach of contract, is a controversial concept within the common law of contract. The doctrine was, in particular, nurtured by Lord Denning, Master of the Rolls from 1962 to 1982, but it did not find favour with the House of Lords.
Whereas breach of condition is a serious breach that ""denies the plaintiff the main benefit of the contract"", fundamental breach was supposed to be even worse, with the result that any exclusion clause limiting the defendant's liability would automatically become void and ineffective. Also, whereas breach of condition gives the plaintiff the option to repudiate, fundamental breach automatically discharges the entire contract.Although the concept caused some excitement in the 1950s and 1960s, the concept was regarded as flawed by the Law Lords, whose decision in the Suisse Atlantique substantially curtailed the doctrine, which has now been effectively ""laid to rest"" in England and Canada. The relevant concept in English Law is repudiatory breach of contract.

"	157
Good-faith_exception	"In United States constitutional law, the good-faith exception (also good-faith doctrine) is a legal doctrine providing an exemption to the exclusionary rule. 
The exemption allows evidence collected in violation of privacy rights as interpreted from the Fourth Amendment to be admitted at trial if police officers acting in good faith (bona fides) relied upon a defective search warrant — that is, they had reason to believe their actions were legal (measured under the reasonable person test). 
The rule was established in the two companion cases decided by the U.S. Supreme Court in 1984: United States v. Leon, 468 U.S. 897 (1984), and Massachusetts v. Sheppard, 468 U.S. 981 (1984). The exception permits the courts to consider the mental state of the police officer.
Not all states follow the good faith exception to the exclusionary rule, such as New York in People v. Bigelow, 488 N.E.2d 451 (N.Y. 1985).

"	148
Homestead_principle	"The homestead principle is the principle by which one gains ownership of an unowned natural resource by performing an act of original appropriation. Appropriation could be enacted by putting an unowned resource to active use (as with using it to produce some product),
joining it with previously acquired property or by marking it as owned (as with livestock branding).
Proponents of intellectual property hold that ideas can also be homesteaded by originally creating a virtual or tangible representation of them. Others argue that since tangible manifestations of a single idea will be present in many places, including within the minds of people, this precludes their being owned in most or all cases.
Homesteading is one of the foundations of Rothbardian anarcho-capitalism and right-libertarianism."	123
Imputation_(law)	"In law, the principle of imputation or attribution underpins the concept that ignorantia juris non excusat—ignorance of the law does not excuse. All laws are published and available for study in all developed states. The content of the law is imputed to all persons who are within the jurisdiction, no matter how transiently.
This fiction tries to negate the unfairness of someone avoiding liability for an act or omission by simply denying knowledge of the law. The principle also arises in specific areas of law, such as criminal law and commercial law, to describe the need for the law to hold a person liable, even when they may not have known the particular circumstances that caused another person to sustain loss or damage.

"	123
In_loco_parentis	"The term in loco parentis, Latin for ""in the place of a parent"", refers to the legal responsibility of a person or organization to take on some of the functions and responsibilities of a parent.
Originally derived from English common law, the doctrine is applied in two separate areas of the law. First, it grants educational institutions such as colleges and schools discretion to act in the best interests of their students, although not allowing what would be considered violations of the students' civil liberties. Second, this doctrine may allow a non-biological parent to exercise the legal rights and responsibilities of a biological parent if they have held themselves out as the parent.The in loco parentis doctrine is distinct from the doctrine of parens patriae, the psychological parent doctrine, and adoption.

"	131
Incorporation_of_international_law	"The incorporation of international law is the process by which international agreements become part of the municipal law of a sovereign state. A country incorporates a treaty by passing domestic legislation that gives effect to the treaty in the national legal system.Whether incorporation is necessary depends on a country's domestic law. Some states follow a monist system where treaties can become law without incorporation, if their provisions are considered sufficiently self-explanatory. In contrast dualist states require all treaties to be incorporated before they can have any domestic legal effects. Most countries follow a treaty ratification method somewhere between these two extremes.

"	101
Independent_source_doctrine	"In US law, the independent source doctrine is an exception to the exclusionary rule. The doctrine applies to evidence initially discovered during, or as a consequence of, an unlawful search, but later obtained independently from activities untainted by the initial illegality.
The United States Supreme Court, in Nix v. Williams, provided the policy rationale for admitting tainted evidence:  The independent source doctrine teaches us that the interest of society in deterring unlawful conduct and the public interest in having juries receive all probative evidence of a crime are properly balanced by putting the police in the same, not a worse, position that they would have been in if no police error or misconduct had occurred.
The United States Supreme Court, in Murray v. United States provided the current independent source doctrine rule. The Murray court held that a state may not rely on the independent source doctrine if (1) the agents' decision to seek the warrant was prompted by what they had seen during the initial entry or (2) if information obtained during that entry was presented to the Magistrate and affected his decision to issue the warrant.

"	188
Inequality_of_bargaining_power	"Inequality of bargaining power in law, economics and social sciences refers to a situation where one party to a bargain, contract or agreement, has more and better alternatives than the other party. This results in one party having greater power than the other to choose not to take the deal and makes it more likely that this party will gain more favourable terms and grant them more negotiating power (as they are in a better position to reject the deal). Inequality of bargaining power is generally thought to undermine the freedom of contract, resulting in a disproportionate level of freedom between parties, and that it represents a place at which markets fail.
Where bargaining power is persistently unequal, the concept of inequality of bargaining power serves as a justification for the implication of mandatory terms into contracts by law, or the non-enforcement of a contract by the courts.

"	148
Inevitable_disclosure	"Inevitable disclosure is a legal doctrine through which an employer can claim trade secret to enjoin a former employee from working in a job that may result in the use of trade secrets without the need for proof or evidence.  
The inevitable-disclosure doctrine is one's means in demonstrating a revelation of trade secrets, and some have recently found some renewed judicial support. Where it is acceptable, the doctrine allows the court to find that a former employee would disclose proprietary information in their position with a new employer, even if there is no evidence of actual disclosure. Thus, allowing a company to make a critical showing, when it can't do so if required to come forward with evidence of misconduct. However, because it also rests on a prediction about a future harm, inevitable disclosure also is in tension with the general principle that injunctive relief will not be given to prevent a conjectural injury at any means.

"	157
Jurisprudence_constante	"Jurisprudence constante (French for ""stable jurisprudence"", or literally, ""constant jurisprudence"") is a legal doctrine according to which a long series of previous decisions applying a particular legal principle or rule is highly persuasive but not controlling in subsequent cases dealing with similar or identical issues of law.  This doctrine is recognized in most civil law jurisdictions as well as in certain mixed jurisdictions, e.g., Louisiana.
The rule of law applied in the jurisprudence constante directly compares with stare decisis. But the Louisiana Supreme Court notes the principal difference between the two legal doctrines: a single court decision can provide sufficient foundation for stare decisis; however, ""a
series of adjudicated cases, all in accord, form the basis for jurisprudence constante."" Moreover, the Louisiana Court of Appeal has explicitly noted that within Louisiana, jurisprudence constante is merely a secondary source of law, which cannot be authoritative and does not rise to the level of stare decisis.

"	154
Laches_(equity)	"In common-law legal systems, laches ( LAT-chiz ;  Law French: remissness, dilatoriness, from Old French laschesse) is a lack of diligence and activity in making a legal claim, or moving forward with legal enforcement of a right, particularly in regard to  equity. This means that it is an unreasonable delay that can be viewed as prejudicing the opposing party. When asserted in litigation, it is an equity defense, that is, a defense to a claim for an equitable remedy.
The person invoking laches is asserting that an opposing party has ""slept on its rights"", and that, as a result of this delay, circumstances have changed (witnesses or evidence may have been lost or no longer available, etc.), such that it is no longer a just resolution to grant the plaintiff's claim. Laches is associated with the maxim of equity: ""Equity aids the vigilant"" - not those who sleep on their rights. Put another way, failure to assert one's rights in a timely manner can result in a claim being barred by laches.

"	172
